model,batch_size,sequence_length,result
Reformer,1,1,0.0087
Reformer,1,2,0.0092
Reformer,1,4,0.0091
Reformer,1,8,0.0097
Reformer,1,16,0.0097
Reformer,1,32,0.0099
Reformer,1,64,0.0096
Reformer,1,128,0.0106
Reformer,1,256,0.0141
Reformer,1,512,0.0264
Reformer,1,1024,0.0478
Reformer,1,2048,0.0903
Reformer,1,4096,0.1769
Reformer,2,1,0.0089
Reformer,2,2,0.0095
Reformer,2,4,0.0100
Reformer,2,8,0.0100
Reformer,2,16,0.0100
Reformer,2,32,0.0101
Reformer,2,64,0.0107
Reformer,2,128,0.0130
Reformer,2,256,0.0202
Reformer,2,512,0.0475
Reformer,2,1024,0.0899
Reformer,2,2048,0.1756
Reformer,2,4096,0.3468
Reformer,4,1,0.0088
Reformer,4,2,0.0101
Reformer,4,4,0.0100
Reformer,4,8,0.0101
Reformer,4,16,0.0101
Reformer,4,32,0.0106
Reformer,4,64,0.0128
Reformer,4,128,0.0189
Reformer,4,256,0.0360
Reformer,4,512,0.0901
Reformer,4,1024,0.1756
Reformer,4,2048,0.3465
Reformer,4,4096,0.6852
Reformer,8,1,0.0093
Reformer,8,2,0.0100
Reformer,8,4,0.0099
Reformer,8,8,0.0102
Reformer,8,16,0.0107
Reformer,8,32,0.0131
Reformer,8,64,0.0188
Reformer,8,128,0.0335
Reformer,8,256,0.0671
Reformer,8,512,0.1757
Reformer,8,1024,0.3464
Reformer,8,2048,0.6845
Reformer,8,4096,1.3711
Reformer,16,1,0.0096
Reformer,16,2,0.0101
Reformer,16,4,0.0101
Reformer,16,8,0.0107
Reformer,16,16,0.0130
Reformer,16,32,0.0192
Reformer,16,64,0.0336
Reformer,16,128,0.0626
Reformer,16,256,0.1308
Reformer,16,512,0.3468
Reformer,16,1024,0.6842
Reformer,16,2048,1.3707
Reformer,16,4096,2.7692
Reformer,32,1,0.0118
Reformer,32,2,0.0125
Reformer,32,4,0.0109
Reformer,32,8,0.0133
Reformer,32,16,0.0192
Reformer,32,32,0.0338
Reformer,32,64,0.0609
Reformer,32,128,0.1223
Reformer,32,256,0.2576
Reformer,32,512,0.6848
Reformer,32,1024,1.3692
Reformer,32,2048,2.7682
Reformer,32,4096,N/A
