model,batch_size,sequence_length,result
Reformer,1,1,0.0081
Reformer,1,2,0.0089
Reformer,1,4,0.0089
Reformer,1,8,0.0094
Reformer,1,16,0.0091
Reformer,1,32,0.0093
Reformer,1,64,0.0093
Reformer,1,128,0.0100
Reformer,1,256,0.0140
Reformer,1,512,0.0262
Reformer,1,1024,0.0477
Reformer,1,2048,0.0904
Reformer,1,4096,0.1769
Reformer,2,1,0.0087
Reformer,2,2,0.0093
Reformer,2,4,0.0097
Reformer,2,8,0.0116
Reformer,2,16,0.0098
Reformer,2,32,0.0098
Reformer,2,64,0.0105
Reformer,2,128,0.0140
Reformer,2,256,0.0215
Reformer,2,512,0.0480
Reformer,2,1024,0.0896
Reformer,2,2048,0.1753
Reformer,2,4096,0.3464
Reformer,4,1,0.0087
Reformer,4,2,0.0098
Reformer,4,4,0.0116
Reformer,4,8,0.0098
Reformer,4,16,0.0117
Reformer,4,32,0.0105
Reformer,4,64,0.0129
Reformer,4,128,0.0197
Reformer,4,256,0.0363
Reformer,4,512,0.0900
Reformer,4,1024,0.1751
Reformer,4,2048,0.3455
Reformer,4,4096,0.6831
Reformer,8,1,0.0111
Reformer,8,2,0.0117
Reformer,8,4,0.0118
Reformer,8,8,0.0097
Reformer,8,16,0.0121
Reformer,8,32,0.0143
Reformer,8,64,0.0188
Reformer,8,128,0.0342
Reformer,8,256,0.0672
Reformer,8,512,0.1755
Reformer,8,1024,0.3454
Reformer,8,2048,0.6823
Reformer,8,4096,1.3680
Reformer,16,1,0.0092
Reformer,16,2,0.0098
Reformer,16,4,0.0119
Reformer,16,8,0.0106
Reformer,16,16,0.0130
Reformer,16,32,0.0189
Reformer,16,64,0.0335
Reformer,16,128,0.0622
Reformer,16,256,0.1308
Reformer,16,512,0.3458
Reformer,16,1024,0.6829
Reformer,16,2048,1.3677
Reformer,16,4096,2.7653
Reformer,32,1,0.0096
Reformer,32,2,0.0102
Reformer,32,4,0.0108
Reformer,32,8,0.0132
Reformer,32,16,0.0192
Reformer,32,32,0.0338
Reformer,32,64,0.0610
Reformer,32,128,0.1229
Reformer,32,256,0.2581
Reformer,32,512,0.6860
Reformer,32,1024,1.3741
Reformer,32,2048,2.7672
Reformer,32,4096,N/A
