model,batch_size,sequence_length,result
BigBird,1,1,0.0066
BigBird,1,2,0.0070
BigBird,1,4,0.0072
BigBird,1,8,0.0074
BigBird,1,16,0.0075
BigBird,1,32,0.0079
BigBird,1,64,0.0079
BigBird,1,128,0.0080
BigBird,1,256,0.0093
BigBird,1,512,0.0183
BigBird,1,1024,0.0644
BigBird,1,2048,0.1615
BigBird,1,4096,0.1766
BigBird,2,1,0.0068
BigBird,2,2,0.0074
BigBird,2,4,0.0077
BigBird,2,8,0.0077
BigBird,2,16,0.0080
BigBird,2,32,0.0084
BigBird,2,64,0.0084
BigBird,2,128,0.0092
BigBird,2,256,0.0171
BigBird,2,512,0.0344
BigBird,2,1024,0.0893
BigBird,2,2048,0.1820
BigBird,2,4096,0.3397
BigBird,4,1,0.0069
BigBird,4,2,0.0078
BigBird,4,4,0.0077
BigBird,4,8,0.0082
BigBird,4,16,0.0082
BigBird,4,32,0.0082
BigBird,4,64,0.0091
BigBird,4,128,0.0162
BigBird,4,256,0.0320
BigBird,4,512,0.0655
BigBird,4,1024,0.1696
BigBird,4,2048,0.3337
BigBird,4,4096,0.6592
BigBird,8,1,0.0073
BigBird,8,2,0.0078
BigBird,8,4,0.0081
BigBird,8,8,0.0083
BigBird,8,16,0.0081
BigBird,8,32,0.0092
BigBird,8,64,0.0159
BigBird,8,128,0.0307
BigBird,8,256,0.0608
BigBird,8,512,0.1137
BigBird,8,1024,0.3281
BigBird,8,2048,0.6523
BigBird,8,4096,1.3210
BigBird,16,1,0.0072
BigBird,16,2,0.0081
BigBird,16,4,0.0083
BigBird,16,8,0.0081
BigBird,16,16,0.0091
BigBird,16,32,0.0159
BigBird,16,64,0.0299
BigBird,16,128,0.0597
BigBird,16,256,0.1072
BigBird,16,512,0.2163
BigBird,16,1024,0.6403
BigBird,16,2048,1.3005
BigBird,16,4096,2.6335
BigBird,32,1,0.0075
BigBird,32,2,0.0083
BigBird,32,4,0.0082
BigBird,32,8,0.0091
BigBird,32,16,0.0160
BigBird,32,32,0.0302
BigBird,32,64,0.0586
BigBird,32,128,0.1030
BigBird,32,256,0.2008
BigBird,32,512,0.4141
BigBird,32,1024,1.2841
BigBird,32,2048,2.6057
BigBird,32,4096,N/A
Longformer_base,1,1,0.0184
Longformer_base,1,2,0.0184
Longformer_base,1,4,0.0191
Longformer_base,1,8,0.0184
Longformer_base,1,16,0.0184
Longformer_base,1,32,0.0183
Longformer_base,1,64,0.0191
Longformer_base,1,128,0.0184
Longformer_base,1,256,0.0185
Longformer_base,1,512,0.0186
Longformer_base,1,1024,0.0351
Longformer_base,1,2048,0.0691
Longformer_base,1,4096,0.1303
Longformer_base,2,1,0.0351
Longformer_base,2,2,0.0350
Longformer_base,2,4,0.0350
Longformer_base,2,8,0.0351
Longformer_base,2,16,0.0351
Longformer_base,2,32,0.0351
Longformer_base,2,64,0.0351
Longformer_base,2,128,0.0350
Longformer_base,2,256,0.0352
Longformer_base,2,512,0.0354
Longformer_base,2,1024,0.0696
Longformer_base,2,2048,0.1368
Longformer_base,2,4096,0.2688
Longformer_base,4,1,0.0679
Longformer_base,4,2,0.0670
Longformer_base,4,4,0.0666
Longformer_base,4,8,0.0679
Longformer_base,4,16,0.0681
Longformer_base,4,32,0.0677
Longformer_base,4,64,0.0680
Longformer_base,4,128,0.0681
Longformer_base,4,256,0.0683
Longformer_base,4,512,0.0685
Longformer_base,4,1024,0.1333
Longformer_base,4,2048,0.2664
Longformer_base,4,4096,0.5290
Longformer_base,8,1,0.1284
Longformer_base,8,2,0.1283
Longformer_base,8,4,0.1283
Longformer_base,8,8,0.1283
Longformer_base,8,16,0.1277
Longformer_base,8,32,0.1285
Longformer_base,8,64,0.1285
Longformer_base,8,128,0.1288
Longformer_base,8,256,0.1291
Longformer_base,8,512,0.1302
Longformer_base,8,1024,0.2634
Longformer_base,8,2048,0.5275
Longformer_base,8,4096,1.0619
Longformer_base,16,1,0.2510
Longformer_base,16,2,0.2509
Longformer_base,16,4,0.2500
Longformer_base,16,8,0.2510
Longformer_base,16,16,0.2497
Longformer_base,16,32,0.2509
Longformer_base,16,64,0.2512
Longformer_base,16,128,0.2506
Longformer_base,16,256,0.2515
Longformer_base,16,512,0.2549
Longformer_base,16,1024,0.5168
Longformer_base,16,2048,1.0558
Longformer_base,16,4096,2.1368
Longformer_base,32,1,0.4898
Longformer_base,32,2,0.4902
Longformer_base,32,4,0.4890
Longformer_base,32,8,0.4903
Longformer_base,32,16,0.4906
Longformer_base,32,32,0.4898
Longformer_base,32,64,0.4910
Longformer_base,32,128,0.4921
Longformer_base,32,256,0.4935
Longformer_base,32,512,0.4991
Longformer_base,32,1024,1.0369
Longformer_base,32,2048,2.1245
Longformer_base,32,4096,4.3955
Longformer_large,1,1,0.0518
Longformer_large,1,2,0.0520
Longformer_large,1,4,0.0518
Longformer_large,1,8,0.0514
Longformer_large,1,16,0.0516
Longformer_large,1,32,0.0517
Longformer_large,1,64,0.0517
Longformer_large,1,128,0.0517
Longformer_large,1,256,0.0516
Longformer_large,1,512,0.0525
Longformer_large,1,1024,0.1009
Longformer_large,1,2048,0.2003
Longformer_large,1,4096,0.3968
Longformer_large,2,1,0.1002
Longformer_large,2,2,0.1004
Longformer_large,2,4,0.0999
Longformer_large,2,8,0.1003
Longformer_large,2,16,0.1004
Longformer_large,2,32,0.1000
Longformer_large,2,64,0.1003
Longformer_large,2,128,0.1004
Longformer_large,2,256,0.1013
Longformer_large,2,512,0.1023
Longformer_large,2,1024,0.2072
Longformer_large,2,2048,0.4141
Longformer_large,2,4096,0.8231
Longformer_large,4,1,0.1965
Longformer_large,4,2,0.1963
Longformer_large,4,4,0.1960
Longformer_large,4,8,0.1966
Longformer_large,4,16,0.1959
Longformer_large,4,32,0.1966
Longformer_large,4,64,0.1969
Longformer_large,4,128,0.1969
Longformer_large,4,256,0.1985
Longformer_large,4,512,0.2003
Longformer_large,4,1024,0.4084
Longformer_large,4,2048,0.8217
Longformer_large,4,4096,1.6419
Longformer_large,8,1,0.3877
Longformer_large,8,2,0.3870
Longformer_large,8,4,0.3871
Longformer_large,8,8,0.3867
Longformer_large,8,16,0.3881
Longformer_large,8,32,0.3875
Longformer_large,8,64,0.3878
Longformer_large,8,128,0.3884
Longformer_large,8,256,0.3906
Longformer_large,8,512,0.3955
Longformer_large,8,1024,0.8132
Longformer_large,8,2048,1.6355
Longformer_large,8,4096,3.2953
Longformer_large,16,1,0.7706
Longformer_large,16,2,0.7683
Longformer_large,16,4,0.7684
Longformer_large,16,8,0.7695
Longformer_large,16,16,0.7680
Longformer_large,16,32,0.7700
Longformer_large,16,64,0.7697
Longformer_large,16,128,0.7717
Longformer_large,16,256,0.7778
Longformer_large,16,512,0.7848
Longformer_large,16,1024,1.6074
Longformer_large,16,2048,3.2755
Longformer_large,16,4096,6.7028
Longformer_large,32,1,1.5117
Longformer_large,32,2,1.5108
Longformer_large,32,4,1.5109
Longformer_large,32,8,1.5114
Longformer_large,32,16,1.5124
Longformer_large,32,32,1.5127
Longformer_large,32,64,1.5155
Longformer_large,32,128,1.5192
Longformer_large,32,256,1.5306
Longformer_large,32,512,1.5518
Longformer_large,32,1024,3.2237
Longformer_large,32,2048,6.6836
Longformer_large,32,4096,13.6716
Transformer-XL,1,1,0.0295
Transformer-XL,1,2,0.0304
Transformer-XL,1,4,0.0308
Transformer-XL,1,8,0.0319
Transformer-XL,1,16,0.0331
Transformer-XL,1,32,0.0330
Transformer-XL,1,64,0.0402
Transformer-XL,1,128,0.0601
Transformer-XL,1,256,0.0956
Transformer-XL,1,512,0.1816
Transformer-XL,1,1024,0.4020
Transformer-XL,1,2048,1.0446
Transformer-XL,1,4096,3.0802
Transformer-XL,2,1,0.0456
Transformer-XL,2,2,0.0461
Transformer-XL,2,4,0.0469
Transformer-XL,2,8,0.0487
Transformer-XL,2,16,0.0485
Transformer-XL,2,32,0.0555
Transformer-XL,2,64,0.0765
Transformer-XL,2,128,0.1137
Transformer-XL,2,256,0.2043
Transformer-XL,2,512,0.4109
Transformer-XL,2,1024,0.9835
Transformer-XL,2,2048,2.5889
Transformer-XL,2,4096,7.7427
Transformer-XL,4,1,0.0751
Transformer-XL,4,2,0.0760
Transformer-XL,4,4,0.0769
Transformer-XL,4,8,0.0773
Transformer-XL,4,16,0.0821
Transformer-XL,4,32,0.0939
Transformer-XL,4,64,0.1345
Transformer-XL,4,128,0.2048
Transformer-XL,4,256,0.3609
Transformer-XL,4,512,0.7201
Transformer-XL,4,1024,1.8131
Transformer-XL,4,2048,5.2105
Transformer-XL,4,4096,N/A
Transformer-XL,8,1,0.1499
Transformer-XL,8,2,0.1505
Transformer-XL,8,4,0.1510
Transformer-XL,8,8,0.1639
Transformer-XL,8,16,0.1756
Transformer-XL,8,32,0.2014
Transformer-XL,8,64,0.2936
Transformer-XL,8,128,0.5025
Transformer-XL,8,256,0.9909
Transformer-XL,8,512,2.1693
Transformer-XL,8,1024,5.3648
Transformer-XL,8,2048,N/A
Transformer-XL,8,4096,N/A
Transformer-XL,16,1,0.2734
Transformer-XL,16,2,0.2739
Transformer-XL,16,4,0.2878
Transformer-XL,16,8,0.2981
Transformer-XL,16,16,0.3218
Transformer-XL,16,32,0.3883
Transformer-XL,16,64,0.6938
Transformer-XL,16,128,1.1468
Transformer-XL,16,256,2.2983
Transformer-XL,16,512,5.0770
Transformer-XL,16,1024,N/A
Transformer-XL,16,2048,N/A
Transformer-XL,16,4096,N/A
Transformer-XL,32,1,0.5317
Transformer-XL,32,2,0.5493
Transformer-XL,32,4,0.5609
Transformer-XL,32,8,0.5787
Transformer-XL,32,16,0.6264
Transformer-XL,32,32,0.7878
Transformer-XL,32,64,1.4744
Transformer-XL,32,128,2.3698
Transformer-XL,32,256,4.8257
Transformer-XL,32,512,N/A
Transformer-XL,32,1024,N/A
Transformer-XL,32,2048,N/A
Transformer-XL,32,4096,N/A
