model,batch_size,sequence_length,result
BigBird,1,1,0.0064
BigBird,1,2,0.0067
BigBird,1,4,0.0069
BigBird,1,8,0.0073
BigBird,1,16,0.0072
BigBird,1,32,0.0076
BigBird,1,64,0.0077
BigBird,1,128,0.0078
BigBird,1,256,0.0093
BigBird,1,512,0.0183
BigBird,1,1024,0.0637
BigBird,1,2048,0.1616
BigBird,1,4096,0.1762
BigBird,2,1,0.0066
BigBird,2,2,0.0071
BigBird,2,4,0.0076
BigBird,2,8,0.0076
BigBird,2,16,0.0078
BigBird,2,32,0.0082
BigBird,2,64,0.0081
BigBird,2,128,0.0093
BigBird,2,256,0.0171
BigBird,2,512,0.0344
BigBird,2,1024,0.0894
BigBird,2,2048,0.1828
BigBird,2,4096,0.3400
BigBird,4,1,0.0067
BigBird,4,2,0.0075
BigBird,4,4,0.0074
BigBird,4,8,0.0080
BigBird,4,16,0.0080
BigBird,4,32,0.0081
BigBird,4,64,0.0091
BigBird,4,128,0.0162
BigBird,4,256,0.0319
BigBird,4,512,0.0651
BigBird,4,1024,0.1699
BigBird,4,2048,0.3333
BigBird,4,4096,0.6599
BigBird,8,1,0.0071
BigBird,8,2,0.0075
BigBird,8,4,0.0080
BigBird,8,8,0.0081
BigBird,8,16,0.0079
BigBird,8,32,0.0092
BigBird,8,64,0.0160
BigBird,8,128,0.0307
BigBird,8,256,0.0616
BigBird,8,512,0.1143
BigBird,8,1024,0.3284
BigBird,8,2048,0.6529
BigBird,8,4096,1.3205
BigBird,16,1,0.0069
BigBird,16,2,0.0079
BigBird,16,4,0.0080
BigBird,16,8,0.0078
BigBird,16,16,0.0091
BigBird,16,32,0.0160
BigBird,16,64,0.0301
BigBird,16,128,0.0596
BigBird,16,256,0.1067
BigBird,16,512,0.2170
BigBird,16,1024,0.6397
BigBird,16,2048,1.3002
BigBird,16,4096,2.6300
BigBird,32,1,0.0073
BigBird,32,2,0.0081
BigBird,32,4,0.0078
BigBird,32,8,0.0091
BigBird,32,16,0.0160
BigBird,32,32,0.0302
BigBird,32,64,0.0594
BigBird,32,128,0.1040
BigBird,32,256,0.2015
BigBird,32,512,0.4149
BigBird,32,1024,1.2851
BigBird,32,2048,2.6054
BigBird,32,4096,N/A
Longformer_base,1,1,0.0185
Longformer_base,1,2,0.0184
Longformer_base,1,4,0.0184
Longformer_base,1,8,0.0184
Longformer_base,1,16,0.0191
Longformer_base,1,32,0.0183
Longformer_base,1,64,0.0184
Longformer_base,1,128,0.0184
Longformer_base,1,256,0.0185
Longformer_base,1,512,0.0185
Longformer_base,1,1024,0.0351
Longformer_base,1,2048,0.0676
Longformer_base,1,4096,0.1310
Longformer_base,2,1,0.0351
Longformer_base,2,2,0.0350
Longformer_base,2,4,0.0351
Longformer_base,2,8,0.0350
Longformer_base,2,16,0.0351
Longformer_base,2,32,0.0351
Longformer_base,2,64,0.0351
Longformer_base,2,128,0.0350
Longformer_base,2,256,0.0351
Longformer_base,2,512,0.0355
Longformer_base,2,1024,0.0696
Longformer_base,2,2048,0.1368
Longformer_base,2,4096,0.2676
Longformer_base,4,1,0.0663
Longformer_base,4,2,0.0679
Longformer_base,4,4,0.0679
Longformer_base,4,8,0.0669
Longformer_base,4,16,0.0670
Longformer_base,4,32,0.0662
Longformer_base,4,64,0.0679
Longformer_base,4,128,0.0682
Longformer_base,4,256,0.0683
Longformer_base,4,512,0.0674
Longformer_base,4,1024,0.1345
Longformer_base,4,2048,0.2661
Longformer_base,4,4096,0.5279
Longformer_base,8,1,0.1273
Longformer_base,8,2,0.1284
Longformer_base,8,4,0.1284
Longformer_base,8,8,0.1284
Longformer_base,8,16,0.1285
Longformer_base,8,32,0.1284
Longformer_base,8,64,0.1285
Longformer_base,8,128,0.1289
Longformer_base,8,256,0.1280
Longformer_base,8,512,0.1303
Longformer_base,8,1024,0.2628
Longformer_base,8,2048,0.5264
Longformer_base,8,4096,1.0613
Longformer_base,16,1,0.2501
Longformer_base,16,2,0.2508
Longformer_base,16,4,0.2506
Longformer_base,16,8,0.2509
Longformer_base,16,16,0.2507
Longformer_base,16,32,0.2507
Longformer_base,16,64,0.2509
Longformer_base,16,128,0.2514
Longformer_base,16,256,0.2524
Longformer_base,16,512,0.2546
Longformer_base,16,1024,0.5160
Longformer_base,16,2048,1.0563
Longformer_base,16,4096,2.1362
Longformer_base,32,1,0.4896
Longformer_base,32,2,0.4895
Longformer_base,32,4,0.4901
Longformer_base,32,8,0.4900
Longformer_base,32,16,0.4902
Longformer_base,32,32,0.4907
Longformer_base,32,64,0.4899
Longformer_base,32,128,0.4921
Longformer_base,32,256,0.4943
Longformer_base,32,512,0.4980
Longformer_base,32,1024,1.0367
Longformer_base,32,2048,2.1253
Longformer_base,32,4096,4.3955
Longformer_large,1,1,0.0521
Longformer_large,1,2,0.0519
Longformer_large,1,4,0.0518
Longformer_large,1,8,0.0517
Longformer_large,1,16,0.0517
Longformer_large,1,32,0.0516
Longformer_large,1,64,0.0517
Longformer_large,1,128,0.0517
Longformer_large,1,256,0.0520
Longformer_large,1,512,0.0527
Longformer_large,1,1024,0.1022
Longformer_large,1,2048,0.2015
Longformer_large,1,4096,0.3978
Longformer_large,2,1,0.1022
Longformer_large,2,2,0.1014
Longformer_large,2,4,0.1012
Longformer_large,2,8,0.1019
Longformer_large,2,16,0.1014
Longformer_large,2,32,0.1020
Longformer_large,2,64,0.1021
Longformer_large,2,128,0.1018
Longformer_large,2,256,0.1024
Longformer_large,2,512,0.1036
Longformer_large,2,1024,0.2078
Longformer_large,2,2048,0.4135
Longformer_large,2,4096,0.8231
Longformer_large,4,1,0.1981
Longformer_large,4,2,0.1975
Longformer_large,4,4,0.1973
Longformer_large,4,8,0.1973
Longformer_large,4,16,0.1976
Longformer_large,4,32,0.1973
Longformer_large,4,64,0.1976
Longformer_large,4,128,0.1982
Longformer_large,4,256,0.1992
Longformer_large,4,512,0.2012
Longformer_large,4,1024,0.4081
Longformer_large,4,2048,0.8213
Longformer_large,4,4096,1.6422
Longformer_large,8,1,0.3882
Longformer_large,8,2,0.3881
Longformer_large,8,4,0.3879
Longformer_large,8,8,0.3874
Longformer_large,8,16,0.3882
Longformer_large,8,32,0.3879
Longformer_large,8,64,0.3884
Longformer_large,8,128,0.3897
Longformer_large,8,256,0.3916
Longformer_large,8,512,0.3964
Longformer_large,8,1024,0.8109
Longformer_large,8,2048,1.6354
Longformer_large,8,4096,3.2935
Longformer_large,16,1,0.7692
Longformer_large,16,2,0.7690
Longformer_large,16,4,0.7707
Longformer_large,16,8,0.7688
Longformer_large,16,16,0.7703
Longformer_large,16,32,0.7710
Longformer_large,16,64,0.7708
Longformer_large,16,128,0.7727
Longformer_large,16,256,0.7772
Longformer_large,16,512,0.7856
Longformer_large,16,1024,1.6073
Longformer_large,16,2048,3.2734
Longformer_large,16,4096,6.7039
Longformer_large,32,1,1.5108
Longformer_large,32,2,1.5118
Longformer_large,32,4,1.5117
Longformer_large,32,8,1.5120
Longformer_large,32,16,1.5123
Longformer_large,32,32,1.5134
Longformer_large,32,64,1.5160
Longformer_large,32,128,1.5205
Longformer_large,32,256,1.5315
Longformer_large,32,512,1.5529
Longformer_large,32,1024,3.2252
Longformer_large,32,2048,6.6799
Longformer_large,32,4096,13.6619
Transformer-XL,1,1,0.0294
Transformer-XL,1,2,0.0301
Transformer-XL,1,4,0.0303
Transformer-XL,1,8,0.0315
Transformer-XL,1,16,0.0328
Transformer-XL,1,32,0.0329
Transformer-XL,1,64,0.0401
Transformer-XL,1,128,0.0600
Transformer-XL,1,256,0.0956
Transformer-XL,1,512,0.1815
Transformer-XL,1,1024,0.4021
Transformer-XL,1,2048,1.0444
Transformer-XL,1,4096,3.0798
Transformer-XL,2,1,0.0455
Transformer-XL,2,2,0.0459
Transformer-XL,2,4,0.0468
Transformer-XL,2,8,0.0479
Transformer-XL,2,16,0.0484
Transformer-XL,2,32,0.0554
Transformer-XL,2,64,0.0765
Transformer-XL,2,128,0.1133
Transformer-XL,2,256,0.2038
Transformer-XL,2,512,0.4130
Transformer-XL,2,1024,0.9873
Transformer-XL,2,2048,2.5900
Transformer-XL,2,4096,7.7286
Transformer-XL,4,1,0.0750
Transformer-XL,4,2,0.0759
Transformer-XL,4,4,0.0769
Transformer-XL,4,8,0.0771
Transformer-XL,4,16,0.0820
Transformer-XL,4,32,0.0938
Transformer-XL,4,64,0.1345
Transformer-XL,4,128,0.2046
Transformer-XL,4,256,0.3610
Transformer-XL,4,512,0.7198
Transformer-XL,4,1024,1.8924
Transformer-XL,4,2048,5.3456
Transformer-XL,4,4096,N/A
Transformer-XL,8,1,0.1498
Transformer-XL,8,2,0.1504
Transformer-XL,8,4,0.1508
Transformer-XL,8,8,0.1637
Transformer-XL,8,16,0.1752
Transformer-XL,8,32,0.2015
Transformer-XL,8,64,0.2934
Transformer-XL,8,128,0.5071
Transformer-XL,8,256,0.9915
Transformer-XL,8,512,2.1852
Transformer-XL,8,1024,5.3737
Transformer-XL,8,2048,N/A
Transformer-XL,8,4096,N/A
Transformer-XL,16,1,0.2730
Transformer-XL,16,2,0.2736
Transformer-XL,16,4,0.2876
Transformer-XL,16,8,0.2982
Transformer-XL,16,16,0.3221
Transformer-XL,16,32,0.3879
Transformer-XL,16,64,0.6937
Transformer-XL,16,128,1.1463
Transformer-XL,16,256,2.2985
Transformer-XL,16,512,5.0627
Transformer-XL,16,1024,N/A
Transformer-XL,16,2048,N/A
Transformer-XL,16,4096,N/A
Transformer-XL,32,1,0.5319
Transformer-XL,32,2,0.5485
Transformer-XL,32,4,0.5587
Transformer-XL,32,8,0.5774
Transformer-XL,32,16,0.6255
Transformer-XL,32,32,0.7871
Transformer-XL,32,64,1.4713
Transformer-XL,32,128,2.3721
Transformer-XL,32,256,4.8017
Transformer-XL,32,512,N/A
Transformer-XL,32,1024,N/A
Transformer-XL,32,2048,N/A
Transformer-XL,32,4096,N/A
