model,batch_size,sequence_length,result
BigBird,1,1,1944
BigBird,1,2,1944
BigBird,1,4,1944
BigBird,1,8,1944
BigBird,1,16,1944
BigBird,1,32,1946
BigBird,1,64,1948
BigBird,1,128,1974
BigBird,1,256,2000
BigBird,1,512,2056
BigBird,1,1024,2282
BigBird,1,2048,2676
BigBird,1,4096,3426
BigBird,2,1,1944
BigBird,2,2,1944
BigBird,2,4,1944
BigBird,2,8,1944
BigBird,2,16,1946
BigBird,2,32,1948
BigBird,2,64,1974
BigBird,2,128,2000
BigBird,2,256,2064
BigBird,2,512,2234
BigBird,2,1024,2708
BigBird,2,2048,3416
BigBird,2,4096,4938
BigBird,4,1,1944
BigBird,4,2,1944
BigBird,4,4,1944
BigBird,4,8,1946
BigBird,4,16,1948
BigBird,4,32,1972
BigBird,4,64,2002
BigBird,4,128,2064
BigBird,4,256,2210
BigBird,4,512,2474
BigBird,4,1024,3396
BigBird,4,2048,4912
BigBird,4,4096,7966
BigBird,8,1,1944
BigBird,8,2,1944
BigBird,8,4,1946
BigBird,8,8,1948
BigBird,8,16,1972
BigBird,8,32,2000
BigBird,8,64,2064
BigBird,8,128,2210
BigBird,8,256,2474
BigBird,8,512,2996
BigBird,8,1024,4848
BigBird,8,2048,7850
BigBird,8,4096,13970
BigBird,16,1,1944
BigBird,16,2,1946
BigBird,16,4,1948
BigBird,16,8,1972
BigBird,16,16,2000
BigBird,16,32,2066
BigBird,16,64,2210
BigBird,16,128,2486
BigBird,16,256,2984
BigBird,16,512,4070
BigBird,16,1024,7756
BigBird,16,2048,13752
BigBird,16,4096,25986
BigBird,32,1,1946
BigBird,32,2,1948
BigBird,32,4,1972
BigBird,32,8,2000
BigBird,32,16,2064
BigBird,32,32,2210
BigBird,32,64,2474
BigBird,32,128,3032
BigBird,32,256,4046
BigBird,32,512,6196
BigBird,32,1024,13578
BigBird,32,2048,25554
BigBird,32,4096,27892
Longformer_base,1,1,2100
Longformer_base,1,2,2100
Longformer_base,1,4,2100
Longformer_base,1,8,2100
Longformer_base,1,16,2100
Longformer_base,1,32,2100
Longformer_base,1,64,2100
Longformer_base,1,128,2100
Longformer_base,1,256,2100
Longformer_base,1,512,2100
Longformer_base,1,1024,2184
Longformer_base,1,2048,2298
Longformer_base,1,4096,2594
Longformer_base,2,1,2186
Longformer_base,2,2,2186
Longformer_base,2,4,2186
Longformer_base,2,8,2186
Longformer_base,2,16,2186
Longformer_base,2,32,2186
Longformer_base,2,64,2186
Longformer_base,2,128,2186
Longformer_base,2,256,2186
Longformer_base,2,512,2186
Longformer_base,2,1024,2356
Longformer_base,2,2048,2566
Longformer_base,2,4096,3154
Longformer_base,4,1,2338
Longformer_base,4,2,2338
Longformer_base,4,4,2338
Longformer_base,4,8,2338
Longformer_base,4,16,2338
Longformer_base,4,32,2338
Longformer_base,4,64,2338
Longformer_base,4,128,2338
Longformer_base,4,256,2338
Longformer_base,4,512,2338
Longformer_base,4,1024,2656
Longformer_base,4,2048,3098
Longformer_base,4,4096,4274
Longformer_base,8,1,2622
Longformer_base,8,2,2622
Longformer_base,8,4,2622
Longformer_base,8,8,2622
Longformer_base,8,16,2622
Longformer_base,8,32,2622
Longformer_base,8,64,2622
Longformer_base,8,128,2622
Longformer_base,8,256,2622
Longformer_base,8,512,2622
Longformer_base,8,1024,3280
Longformer_base,8,2048,4168
Longformer_base,8,4096,6522
Longformer_base,16,1,3210
Longformer_base,16,2,3210
Longformer_base,16,4,3210
Longformer_base,16,8,3210
Longformer_base,16,16,3210
Longformer_base,16,32,3210
Longformer_base,16,64,3210
Longformer_base,16,128,3210
Longformer_base,16,256,3210
Longformer_base,16,512,3210
Longformer_base,16,1024,4528
Longformer_base,16,2048,6306
Longformer_base,16,4096,11014
Longformer_base,32,1,4386
Longformer_base,32,2,4386
Longformer_base,32,4,4386
Longformer_base,32,8,4386
Longformer_base,32,16,4386
Longformer_base,32,32,4386
Longformer_base,32,64,4386
Longformer_base,32,128,4386
Longformer_base,32,256,4386
Longformer_base,32,512,4386
Longformer_base,32,1024,7030
Longformer_base,32,2048,10582
Longformer_base,32,4096,20002
Longformer_large,1,1,3178
Longformer_large,1,2,3178
Longformer_large,1,4,3178
Longformer_large,1,8,3178
Longformer_large,1,16,3178
Longformer_large,1,32,3178
Longformer_large,1,64,3178
Longformer_large,1,128,3178
Longformer_large,1,256,3178
Longformer_large,1,512,3178
Longformer_large,1,1024,3284
Longformer_large,1,2048,3428
Longformer_large,1,4096,3818
Longformer_large,2,1,3286
Longformer_large,2,2,3286
Longformer_large,2,4,3286
Longformer_large,2,8,3286
Longformer_large,2,16,3286
Longformer_large,2,32,3286
Longformer_large,2,64,3286
Longformer_large,2,128,3286
Longformer_large,2,256,3286
Longformer_large,2,512,3286
Longformer_large,2,1024,3492
Longformer_large,2,2048,3782
Longformer_large,2,4096,4582
Longformer_large,4,1,3482
Longformer_large,4,2,3482
Longformer_large,4,4,3482
Longformer_large,4,8,3482
Longformer_large,4,16,3482
Longformer_large,4,32,3482
Longformer_large,4,64,3482
Longformer_large,4,128,3482
Longformer_large,4,256,3482
Longformer_large,4,512,3482
Longformer_large,4,1024,3904
Longformer_large,4,2048,4510
Longformer_large,4,4096,6078
Longformer_large,8,1,3858
Longformer_large,8,2,3858
Longformer_large,8,4,3858
Longformer_large,8,8,3858
Longformer_large,8,16,3858
Longformer_large,8,32,3858
Longformer_large,8,64,3858
Longformer_large,8,128,3858
Longformer_large,8,256,3858
Longformer_large,8,512,3858
Longformer_large,8,1024,4752
Longformer_large,8,2048,5934
Longformer_large,8,4096,9072
Longformer_large,16,1,4658
Longformer_large,16,2,4658
Longformer_large,16,4,4658
Longformer_large,16,8,4658
Longformer_large,16,16,4658
Longformer_large,16,32,4658
Longformer_large,16,64,4658
Longformer_large,16,128,4658
