model,batch_size,sequence_length,result
BigBird,1,1,2758
BigBird,1,2,2760
BigBird,1,4,2764
BigBird,1,8,2764
BigBird,1,16,2774
BigBird,1,32,2792
BigBird,1,64,2836
BigBird,1,128,2834
BigBird,1,256,3032
BigBird,1,512,3774
BigBird,1,1024,4932
BigBird,1,2048,8084
BigBird,1,4096,14558
BigBird,2,1,2760
BigBird,2,2,2764
BigBird,2,4,2764
BigBird,2,8,2772
BigBird,2,16,2790
BigBird,2,32,2830
BigBird,2,64,2818
BigBird,2,128,2900
BigBird,2,256,3546
BigBird,2,512,4780
BigBird,2,1024,8198
BigBird,2,2048,14582
BigBird,2,4096,27874
BigBird,4,1,2764
BigBird,4,2,2764
BigBird,4,4,2772
BigBird,4,8,2790
BigBird,4,16,2828
BigBird,4,32,2810
BigBird,4,64,2936
BigBird,4,128,3416
BigBird,4,256,4312
BigBird,4,512,7528
BigBird,4,1024,14388
BigBird,4,2048,27216
BigBird,4,4096,N/A
BigBird,8,1,2764
BigBird,8,2,2772
BigBird,8,4,2790
BigBird,8,8,2828
BigBird,8,16,2806
BigBird,8,32,2900
BigBird,8,64,3370
BigBird,8,128,4076
BigBird,8,256,6594
BigBird,8,512,13036
BigBird,8,1024,26416
BigBird,8,2048,N/A
BigBird,8,4096,N/A
BigBird,16,1,2772
BigBird,16,2,2790
BigBird,16,4,2828
BigBird,16,8,2804
BigBird,16,16,2900
BigBird,16,32,3338
BigBird,16,64,3964
BigBird,16,128,6124
BigBird,16,256,11166
BigBird,16,512,24134
BigBird,16,1024,N/A
BigBird,16,2048,N/A
BigBird,16,4096,N/A
BigBird,32,1,2790
BigBird,32,2,2828
BigBird,32,4,2802
BigBird,32,8,2900
BigBird,32,16,3320
BigBird,32,32,3836
BigBird,32,64,5888
BigBird,32,128,10238
BigBird,32,256,20390
BigBird,32,512,46324
BigBird,32,1024,N/A
BigBird,32,2048,N/A
BigBird,32,4096,N/A
Longformer_base,1,1,3426
Longformer_base,1,2,3428
Longformer_base,1,4,3430
Longformer_base,1,8,3426
Longformer_base,1,16,3426
Longformer_base,1,32,3426
Longformer_base,1,64,3454
Longformer_base,1,128,3494
Longformer_base,1,256,3592
Longformer_base,1,512,3788
Longformer_base,1,1024,4786
Longformer_base,1,2048,7406
Longformer_base,1,4096,12678
Longformer_base,2,1,4558
Longformer_base,2,2,4562
Longformer_base,2,4,4558
Longformer_base,2,8,4558
Longformer_base,2,16,4558
Longformer_base,2,32,4572
Longformer_base,2,64,4636
Longformer_base,2,128,4690
Longformer_base,2,256,4884
Longformer_base,2,512,4832
Longformer_base,2,1024,7530
Longformer_base,2,2048,13088
Longformer_base,2,4096,24244
Longformer_base,4,1,6560
Longformer_base,4,2,6558
Longformer_base,4,4,6558
Longformer_base,4,8,6558
Longformer_base,4,16,6562
Longformer_base,4,32,6576
Longformer_base,4,64,6702
Longformer_base,4,128,6752
Longformer_base,4,256,6700
Longformer_base,4,512,7484
Longformer_base,4,1024,12950
Longformer_base,4,2048,24242
Longformer_base,4,4096,46370
Longformer_base,8,1,10486
Longformer_base,8,2,10486
Longformer_base,8,4,10486
Longformer_base,8,8,10486
Longformer_base,8,16,10512
Longformer_base,8,32,10640
Longformer_base,8,64,10886
Longformer_base,8,128,10544
Longformer_base,8,256,11328
Longformer_base,8,512,12896
Longformer_base,8,1024,23804
Longformer_base,8,2048,45978
Longformer_base,8,4096,N/A
Longformer_base,16,1,18074
Longformer_base,16,2,18074
Longformer_base,16,4,18074
Longformer_base,16,8,18076
Longformer_base,16,16,18178
Longformer_base,16,32,18474
Longformer_base,16,64,18718
Longformer_base,16,128,18924
Longformer_base,16,256,20492
Longformer_base,16,512,23636
Longformer_base,16,1024,45482
Longformer_base,16,2048,N/A
Longformer_base,16,4096,N/A
Longformer_base,32,1,33900
Longformer_base,32,2,33900
Longformer_base,32,4,33902
Longformer_base,32,8,33860
Longformer_base,32,16,34100
Longformer_base,32,32,34500
Longformer_base,32,64,35284
Longformer_base,32,128,35698
Longformer_base,32,256,38842
Longformer_base,32,512,45122
Longformer_base,32,1024,N/A
Longformer_base,32,2048,N/A
Longformer_base,32,4096,N/A
Longformer_large,1,1,6312
Longformer_large,1,2,6314
Longformer_large,1,4,6316
Longformer_large,1,8,6312
Longformer_large,1,16,6312
Longformer_large,1,32,6312
Longformer_large,1,64,6350
Longformer_large,1,128,6348
Longformer_large,1,256,6446
Longformer_large,1,512,6642
Longformer_large,1,1024,8964
Longformer_large,1,2048,14918
Longformer_large,1,4096,26318
Longformer_large,2,1,9058
Longformer_large,2,2,9060
Longformer_large,2,4,9056
Longformer_large,2,8,9056
Longformer_large,2,16,9056
Longformer_large,2,32,9086
Longformer_large,2,64,9104
