model,batch_size,sequence_length,result
BigBird,1,1,0.0067
BigBird,1,2,0.0069
BigBird,1,4,0.0071
BigBird,1,8,0.0075
BigBird,1,16,0.0073
BigBird,1,32,0.0078
BigBird,1,64,0.0081
BigBird,1,128,0.0079
BigBird,1,256,0.0093
BigBird,1,512,0.0183
BigBird,1,1024,0.0643
BigBird,1,2048,0.1627
BigBird,1,4096,0.1770
BigBird,2,1,0.0068
BigBird,2,2,0.0075
BigBird,2,4,0.0077
BigBird,2,8,0.0078
BigBird,2,16,0.0081
BigBird,2,32,0.0083
BigBird,2,64,0.0084
BigBird,2,128,0.0093
BigBird,2,256,0.0171
BigBird,2,512,0.0345
BigBird,2,1024,0.0895
BigBird,2,2048,0.1829
BigBird,2,4096,0.3431
BigBird,4,1,0.0068
BigBird,4,2,0.0079
BigBird,4,4,0.0078
BigBird,4,8,0.0082
BigBird,4,16,0.0101
BigBird,4,32,0.0082
BigBird,4,64,0.0091
BigBird,4,128,0.0162
BigBird,4,256,0.0321
BigBird,4,512,0.0657
BigBird,4,1024,0.1703
BigBird,4,2048,0.3364
BigBird,4,4096,0.6665
BigBird,8,1,0.0089
BigBird,8,2,0.0077
BigBird,8,4,0.0081
BigBird,8,8,0.0082
BigBird,8,16,0.0082
BigBird,8,32,0.0092
BigBird,8,64,0.0159
BigBird,8,128,0.0306
BigBird,8,256,0.0618
BigBird,8,512,0.1156
BigBird,8,1024,0.3300
BigBird,8,2048,0.6586
BigBird,8,4096,1.3213
BigBird,16,1,0.0073
BigBird,16,2,0.0082
BigBird,16,4,0.0081
BigBird,16,8,0.0082
BigBird,16,16,0.0095
BigBird,16,32,0.0158
BigBird,16,64,0.0300
BigBird,16,128,0.0590
BigBird,16,256,0.1075
BigBird,16,512,0.2162
BigBird,16,1024,0.6447
BigBird,16,2048,1.3006
BigBird,16,4096,2.6256
BigBird,32,1,0.0075
BigBird,32,2,0.0083
BigBird,32,4,0.0082
BigBird,32,8,0.0091
BigBird,32,16,0.0159
BigBird,32,32,0.0299
BigBird,32,64,0.0587
BigBird,32,128,0.1033
BigBird,32,256,0.2010
BigBird,32,512,0.4162
BigBird,32,1024,1.2821
BigBird,32,2048,2.6034
BigBird,32,4096,N/A
Longformer_base,1,1,0.0209
Longformer_base,1,2,0.0184
Longformer_base,1,4,0.0185
Longformer_base,1,8,0.0207
Longformer_base,1,16,0.0183
Longformer_base,1,32,0.0208
Longformer_base,1,64,0.0207
Longformer_base,1,128,0.0207
Longformer_base,1,256,0.0184
Longformer_base,1,512,0.0186
Longformer_base,1,1024,0.0351
Longformer_base,1,2048,0.0677
Longformer_base,1,4096,0.1321
Longformer_base,2,1,0.0354
Longformer_base,2,2,0.0353
Longformer_base,2,4,0.0352
Longformer_base,2,8,0.0353
Longformer_base,2,16,0.0352
Longformer_base,2,32,0.0352
Longformer_base,2,64,0.0353
Longformer_base,2,128,0.0355
Longformer_base,2,256,0.0355
Longformer_base,2,512,0.0359
Longformer_base,2,1024,0.0711
Longformer_base,2,2048,0.1378
Longformer_base,2,4096,0.2709
Longformer_base,4,1,0.0688
Longformer_base,4,2,0.0681
Longformer_base,4,4,0.0686
Longformer_base,4,8,0.0685
Longformer_base,4,16,0.0681
Longformer_base,4,32,0.0668
Longformer_base,4,64,0.0674
Longformer_base,4,128,0.0681
Longformer_base,4,256,0.0679
Longformer_base,4,512,0.0680
Longformer_base,4,1024,0.1350
Longformer_base,4,2048,0.2694
Longformer_base,4,4096,0.5306
Longformer_base,8,1,0.1287
Longformer_base,8,2,0.1294
Longformer_base,8,4,0.1287
Longformer_base,8,8,0.1287
Longformer_base,8,16,0.1286
Longformer_base,8,32,0.1289
Longformer_base,8,64,0.1291
Longformer_base,8,128,0.1295
Longformer_base,8,256,0.1298
Longformer_base,8,512,0.1308
Longformer_base,8,1024,0.2642
Longformer_base,8,2048,0.5278
Longformer_base,8,4096,1.0642
Longformer_base,16,1,0.2505
Longformer_base,16,2,0.2513
Longformer_base,16,4,0.2507
Longformer_base,16,8,0.2505
Longformer_base,16,16,0.2512
Longformer_base,16,32,0.2511
Longformer_base,16,64,0.2515
Longformer_base,16,128,0.2520
Longformer_base,16,256,0.2533
Longformer_base,16,512,0.2556
Longformer_base,16,1024,0.5175
Longformer_base,16,2048,1.0581
Longformer_base,16,4096,2.1312
Longformer_base,32,1,0.4900
Longformer_base,32,2,0.4896
Longformer_base,32,4,0.4907
Longformer_base,32,8,0.4906
Longformer_base,32,16,0.4908
Longformer_base,32,32,0.4910
Longformer_base,32,64,0.4914
Longformer_base,32,128,0.4928
Longformer_base,32,256,0.4947
Longformer_base,32,512,0.4997
Longformer_base,32,1024,1.0382
Longformer_base,32,2048,2.1195
Longformer_base,32,4096,4.3879
Longformer_large,1,1,0.0519
Longformer_large,1,2,0.0519
Longformer_large,1,4,0.0517
Longformer_large,1,8,0.0517
Longformer_large,1,16,0.0514
Longformer_large,1,32,0.0516
Longformer_large,1,64,0.0516
Longformer_large,1,128,0.0517
Longformer_large,1,256,0.0522
Longformer_large,1,512,0.0527
Longformer_large,1,1024,0.1016
Longformer_large,1,2048,0.2017
Longformer_large,1,4096,0.4008
Longformer_large,2,1,0.1010
Longformer_large,2,2,0.1019
Longformer_large,2,4,0.1007
Longformer_large,2,8,0.1011
Longformer_large,2,16,0.1004
Longformer_large,2,32,0.1007
Longformer_large,2,64,0.1006
Longformer_large,2,128,0.1007
Longformer_large,2,256,0.1026
Longformer_large,2,512,0.1038
Longformer_large,2,1024,0.2089
Longformer_large,2,2048,0.4169
Longformer_large,2,4096,0.8288
Longformer_large,4,1,0.1963
Longformer_large,4,2,0.1974
Longformer_large,4,4,0.1967
Longformer_large,4,8,0.1971
Longformer_large,4,16,0.1973
Longformer_large,4,32,0.1972
Longformer_large,4,64,0.1978
Longformer_large,4,128,0.1986
Longformer_large,4,256,0.1989
Longformer_large,4,512,0.2020
Longformer_large,4,1024,0.4094
Longformer_large,4,2048,0.8246
Longformer_large,4,4096,1.6363
Longformer_large,8,1,0.3862
Longformer_large,8,2,0.3883
Longformer_large,8,4,0.3881
Longformer_large,8,8,0.3884
Longformer_large,8,16,0.3879
Longformer_large,8,32,0.3881
Longformer_large,8,64,0.3880
Longformer_large,8,128,0.3892
Longformer_large,8,256,0.3926
Longformer_large,8,512,0.3961
Longformer_large,8,1024,0.8127
Longformer_large,8,2048,1.6276
Longformer_large,8,4096,3.2836
Longformer_large,16,1,0.7677
Longformer_large,16,2,0.7683
Longformer_large,16,4,0.7685
Longformer_large,16,8,0.7689
Longformer_large,16,16,0.7699
Longformer_large,16,32,0.7699
Longformer_large,16,64,0.7700
Longformer_large,16,128,0.7728
Longformer_large,16,256,0.7769
Longformer_large,16,512,0.7885
Longformer_large,16,1024,1.6020
Longformer_large,16,2048,3.2662
Longformer_large,16,4096,6.6969
Longformer_large,32,1,1.5067
Longformer_large,32,2,1.5061
Longformer_large,32,4,1.5073
Longformer_large,32,8,1.5071
Longformer_large,32,16,1.5078
Longformer_large,32,32,1.5093
Longformer_large,32,64,1.5106
Longformer_large,32,128,1.5158
Longformer_large,32,256,1.5251
Longformer_large,32,512,1.5458
Longformer_large,32,1024,3.2151
Longformer_large,32,2048,6.6754
Longformer_large,32,4096,13.6664
Transformer-XL,1,1,0.0295
Transformer-XL,1,2,0.0303
Transformer-XL,1,4,0.0305
Transformer-XL,1,8,0.0316
Transformer-XL,1,16,0.0329
Transformer-XL,1,32,0.0328
Transformer-XL,1,64,0.0398
Transformer-XL,1,128,0.0597
Transformer-XL,1,256,0.0953
Transformer-XL,1,512,0.1809
Transformer-XL,1,1024,0.4009
Transformer-XL,1,2048,1.0426
Transformer-XL,1,4096,3.0763
Transformer-XL,2,1,0.0453
Transformer-XL,2,2,0.0457
Transformer-XL,2,4,0.0466
Transformer-XL,2,8,0.0475
Transformer-XL,2,16,0.0480
Transformer-XL,2,32,0.0551
Transformer-XL,2,64,0.0759
Transformer-XL,2,128,0.1129
Transformer-XL,2,256,0.2031
Transformer-XL,2,512,0.4101
Transformer-XL,2,1024,0.9785
Transformer-XL,2,2048,2.5802
Transformer-XL,2,4096,7.7179
Transformer-XL,4,1,0.0747
Transformer-XL,4,2,0.0756
Transformer-XL,4,4,0.0762
Transformer-XL,4,8,0.0764
Transformer-XL,4,16,0.0812
Transformer-XL,4,32,0.0931
Transformer-XL,4,64,0.1336
Transformer-XL,4,128,0.2035
Transformer-XL,4,256,0.3590
Transformer-XL,4,512,0.7166
Transformer-XL,4,1024,1.8047
Transformer-XL,4,2048,5.1545
Transformer-XL,4,4096,N/A
Transformer-XL,8,1,0.1494
Transformer-XL,8,2,0.1495
Transformer-XL,8,4,0.1495
Transformer-XL,8,8,0.1624
Transformer-XL,8,16,0.1735
Transformer-XL,8,32,0.1994
Transformer-XL,8,64,0.2910
Transformer-XL,8,128,0.4997
Transformer-XL,8,256,0.9872
Transformer-XL,8,512,2.1670
Transformer-XL,8,1024,5.3617
Transformer-XL,8,2048,N/A
Transformer-XL,8,4096,N/A
Transformer-XL,16,1,0.2714
Transformer-XL,16,2,0.2715
Transformer-XL,16,4,0.2851
Transformer-XL,16,8,0.2956
Transformer-XL,16,16,0.3186
Transformer-XL,16,32,0.3851
Transformer-XL,16,64,0.6911
Transformer-XL,16,128,1.1435
Transformer-XL,16,256,2.2961
Transformer-XL,16,512,5.0884
Transformer-XL,16,1024,N/A
Transformer-XL,16,2048,N/A
Transformer-XL,16,4096,N/A
Transformer-XL,32,1,0.5287
Transformer-XL,32,2,0.5443
Transformer-XL,32,4,0.5562
Transformer-XL,32,8,0.5742
Transformer-XL,32,16,0.6217
Transformer-XL,32,32,0.7822
Transformer-XL,32,64,1.4666
Transformer-XL,32,128,2.3694
Transformer-XL,32,256,4.8294
Transformer-XL,32,512,N/A
Transformer-XL,32,1024,N/A
Transformer-XL,32,2048,N/A
Transformer-XL,32,4096,N/A
