model,batch_size,sequence_length,result
BigBird,1,1,0.0288
BigBird,1,2,0.0292
BigBird,1,4,0.0296
BigBird,1,8,0.0299
BigBird,1,16,0.0297
BigBird,1,32,0.0302
BigBird,1,64,0.0311
BigBird,1,128,0.0305
BigBird,1,256,0.0310
BigBird,1,512,0.0569
BigBird,1,1024,0.1985
BigBird,1,2048,0.4430
BigBird,1,4096,0.7386
BigBird,2,1,0.0283
BigBird,2,2,0.0304
BigBird,2,4,0.0307
BigBird,2,8,0.0307
BigBird,2,16,0.0314
BigBird,2,32,0.0317
BigBird,2,64,0.0311
BigBird,2,128,0.0312
BigBird,2,256,0.0523
BigBird,2,512,0.1035
BigBird,2,1024,0.3491
BigBird,2,2048,0.7351
BigBird,2,4096,1.4181
BigBird,4,1,0.0286
BigBird,4,2,0.0309
BigBird,4,4,0.0307
BigBird,4,8,0.0315
BigBird,4,16,0.0312
BigBird,4,32,0.0315
BigBird,4,64,0.0317
BigBird,4,128,0.0495
BigBird,4,256,0.0961
BigBird,4,512,0.2011
BigBird,4,1024,0.6790
BigBird,4,2048,1.3855
BigBird,4,4096,N/A
BigBird,8,1,0.0293
BigBird,8,2,0.0340
BigBird,8,4,0.0314
BigBird,8,8,0.0314
BigBird,8,16,0.0308
BigBird,8,32,0.0322
BigBird,8,64,0.0485
BigBird,8,128,0.0920
BigBird,8,256,0.1857
BigBird,8,512,0.3939
BigBird,8,1024,1.3209
BigBird,8,2048,N/A
BigBird,8,4096,N/A
BigBird,16,1,0.0293
BigBird,16,2,0.0314
BigBird,16,4,0.0307
BigBird,16,8,0.0346
BigBird,16,16,0.0316
BigBird,16,32,0.0486
BigBird,16,64,0.0897
BigBird,16,128,0.1779
BigBird,16,256,0.3638
BigBird,16,512,0.7768
BigBird,16,1024,N/A
BigBird,16,2048,N/A
BigBird,16,4096,N/A
BigBird,32,1,0.0296
BigBird,32,2,0.0346
BigBird,32,4,0.0345
BigBird,32,8,0.0314
BigBird,32,16,0.0487
BigBird,32,32,0.0895
BigBird,32,64,0.1740
BigBird,32,128,0.3481
BigBird,32,256,0.7133
BigBird,32,512,N/A
BigBird,32,1024,N/A
BigBird,32,2048,N/A
BigBird,32,4096,N/A
Longformer_base,1,1,0.0790
Longformer_base,1,2,0.0787
Longformer_base,1,4,0.0835
Longformer_base,1,8,0.0788
Longformer_base,1,16,0.0790
Longformer_base,1,32,0.0836
Longformer_base,1,64,0.0798
Longformer_base,1,128,0.0810
Longformer_base,1,256,0.0836
Longformer_base,1,512,0.0890
Longformer_base,1,1024,0.1709
Longformer_base,1,2048,0.3409
Longformer_base,1,4096,0.7044
Longformer_base,2,1,0.1427
Longformer_base,2,2,0.1428
Longformer_base,2,4,0.1424
Longformer_base,2,8,0.1430
Longformer_base,2,16,0.1430
Longformer_base,2,32,0.1435
Longformer_base,2,64,0.1449
Longformer_base,2,128,0.1477
Longformer_base,2,256,0.1530
Longformer_base,2,512,0.1641
Longformer_base,2,1024,0.3370
Longformer_base,2,2048,0.7043
Longformer_base,2,4096,1.4061
Longformer_base,4,1,0.2744
Longformer_base,4,2,0.2747
Longformer_base,4,4,0.2745
Longformer_base,4,8,0.2753
Longformer_base,4,16,0.2755
Longformer_base,4,32,0.2767
Longformer_base,4,64,0.2799
Longformer_base,4,128,0.2851
Longformer_base,4,256,0.2969
Longformer_base,4,512,0.3200
Longformer_base,4,1024,0.6889
Longformer_base,4,2048,1.3925
Longformer_base,4,4096,N/A
Longformer_base,8,1,0.5552
Longformer_base,8,2,0.5553
Longformer_base,8,4,0.5554
Longformer_base,8,8,0.5564
Longformer_base,8,16,0.5577
Longformer_base,8,32,0.5606
Longformer_base,8,64,0.5661
Longformer_base,8,128,0.5778
Longformer_base,8,256,0.6011
Longformer_base,8,512,0.6507
Longformer_base,8,1024,1.3593
Longformer_base,8,2048,2.7829
Longformer_base,8,4096,N/A
Longformer_base,16,1,1.0938
Longformer_base,16,2,1.0940
Longformer_base,16,4,1.0958
Longformer_base,16,8,1.0954
Longformer_base,16,16,1.0990
Longformer_base,16,32,1.1051
Longformer_base,16,64,1.1161
Longformer_base,16,128,1.1389
Longformer_base,16,256,1.1898
Longformer_base,16,512,1.2831
Longformer_base,16,1024,2.7171
Longformer_base,16,2048,N/A
Longformer_base,16,4096,N/A
Longformer_base,32,1,2.1722
Longformer_base,32,2,2.1742
Longformer_base,32,4,2.1754
Longformer_base,32,8,2.1784
Longformer_base,32,16,2.1853
Longformer_base,32,32,2.1955
Longformer_base,32,64,2.2197
Longformer_base,32,128,2.2697
Longformer_base,32,256,2.3632
Longformer_base,32,512,2.5582
Longformer_base,32,1024,N/A
Longformer_base,32,2048,N/A
Longformer_base,32,4096,N/A
Longformer_large,1,1,0.2164
Longformer_large,1,2,0.2164
Longformer_large,1,4,0.2160
Longformer_large,1,8,0.2159
Longformer_large,1,16,0.2155
Longformer_large,1,32,0.2171
Longformer_large,1,64,0.2167
Longformer_large,1,128,0.2184
Longformer_large,1,256,0.2223
Longformer_large,1,512,0.2304
Longformer_large,1,1024,0.4640
Longformer_large,1,2048,0.9293
Longformer_large,1,4096,1.8924
Longformer_large,2,1,0.4137
Longformer_large,2,2,0.4139
Longformer_large,2,4,0.4131
Longformer_large,2,8,0.4127
Longformer_large,2,16,0.4131
Longformer_large,2,32,0.4136
Longformer_large,2,64,0.4151
Longformer_large,2,128,0.4182
Longformer_large,2,256,0.4277
Longformer_large,2,512,0.4431
Longformer_large,2,1024,0.9164
Longformer_large,2,2048,1.8876
Longformer_large,2,4096,N/A
Longformer_large,4,1,0.8007
Longformer_large,4,2,0.8022
Longformer_large,4,4,0.8014
Longformer_large,4,8,0.8009
Longformer_large,4,16,0.8023
Longformer_large,4,32,0.8041
Longformer_large,4,64,0.8089
Longformer_large,4,128,0.8169
Longformer_large,4,256,0.8330
Longformer_large,4,512,0.8665
Longformer_large,4,1024,1.8461
Longformer_large,4,2048,N/A
Longformer_large,4,4096,N/A
Longformer_large,8,1,1.6072
Longformer_large,8,2,1.6087
Longformer_large,8,4,1.6084
Longformer_large,8,8,1.6101
Longformer_large,8,16,1.6109
Longformer_large,8,32,1.6145
Longformer_large,8,64,1.6223
Longformer_large,8,128,1.6383
Longformer_large,8,256,1.6730
Longformer_large,8,512,1.7445
Longformer_large,8,1024,N/A
Longformer_large,8,2048,N/A
Longformer_large,8,4096,N/A
Longformer_large,16,1,3.1805
Longformer_large,16,2,3.1819
Longformer_large,16,4,3.1839
Longformer_large,16,8,3.1852
Longformer_large,16,16,3.1896
Longformer_large,16,32,3.1981
Longformer_large,16,64,3.2138
Longformer_large,16,128,3.2483
Longformer_large,16,256,3.3165
Longformer_large,16,512,N/A
Longformer_large,16,1024,N/A
Longformer_large,16,2048,N/A
Longformer_large,16,4096,N/A
Longformer_large,32,1,N/A
Longformer_large,32,2,N/A
Longformer_large,32,4,N/A
Longformer_large,32,8,N/A
Longformer_large,32,16,N/A
Longformer_large,32,32,N/A
Longformer_large,32,64,N/A
Longformer_large,32,128,N/A
Longformer_large,32,256,N/A
Longformer_large,32,512,N/A
Longformer_large,32,1024,N/A
Longformer_large,32,2048,N/A
Longformer_large,32,4096,N/A
Transformer-XL,1,1,N/A
Transformer-XL,1,2,0.0814
Transformer-XL,1,4,N/A
Transformer-XL,1,8,N/A
Transformer-XL,1,16,N/A
Transformer-XL,1,32,N/A
Transformer-XL,1,64,N/A
Transformer-XL,1,128,N/A
Transformer-XL,1,256,N/A
Transformer-XL,1,512,N/A
Transformer-XL,1,1024,N/A
Transformer-XL,1,2048,N/A
Transformer-XL,1,4096,N/A
Transformer-XL,2,1,N/A
Transformer-XL,2,2,N/A
Transformer-XL,2,4,N/A
Transformer-XL,2,8,N/A
Transformer-XL,2,16,N/A
Transformer-XL,2,32,N/A
Transformer-XL,2,64,N/A
Transformer-XL,2,128,N/A
Transformer-XL,2,256,N/A
Transformer-XL,2,512,N/A
Transformer-XL,2,1024,N/A
Transformer-XL,2,2048,N/A
Transformer-XL,2,4096,N/A
Transformer-XL,4,1,N/A
Transformer-XL,4,2,N/A
Transformer-XL,4,4,N/A
Transformer-XL,4,8,N/A
Transformer-XL,4,16,N/A
Transformer-XL,4,32,N/A
Transformer-XL,4,64,N/A
Transformer-XL,4,128,N/A
Transformer-XL,4,256,N/A
Transformer-XL,4,512,N/A
Transformer-XL,4,1024,N/A
Transformer-XL,4,2048,N/A
Transformer-XL,4,4096,N/A
Transformer-XL,8,1,N/A
Transformer-XL,8,2,N/A
Transformer-XL,8,4,N/A
Transformer-XL,8,8,N/A
Transformer-XL,8,16,N/A
Transformer-XL,8,32,N/A
Transformer-XL,8,64,N/A
Transformer-XL,8,128,N/A
Transformer-XL,8,256,N/A
Transformer-XL,8,512,N/A
Transformer-XL,8,1024,N/A
Transformer-XL,8,2048,N/A
Transformer-XL,8,4096,N/A
Transformer-XL,16,1,N/A
Transformer-XL,16,2,N/A
Transformer-XL,16,4,N/A
Transformer-XL,16,8,N/A
Transformer-XL,16,16,N/A
Transformer-XL,16,32,N/A
