model,batch_size,sequence_length,result
BERT_base,1,1,0.0060
BERT_base,1,2,0.0063
BERT_base,1,4,0.0063
BERT_base,1,8,0.0066
BERT_base,1,16,0.0066
BERT_base,1,32,0.0072
BERT_base,1,64,0.0073
BERT_base,1,128,0.0073
BERT_base,1,256,0.0077
BERT_base,1,512,0.0129
BERT_base,2,1,0.0060
BERT_base,2,2,0.0068
BERT_base,2,4,0.0072
BERT_base,2,8,0.0071
BERT_base,2,16,0.0075
BERT_base,2,32,0.0077
BERT_base,2,64,0.0076
BERT_base,2,128,0.0078
BERT_base,2,256,0.0122
BERT_base,2,512,0.0230
BERT_base,4,1,0.0062
BERT_base,4,2,0.0071
BERT_base,4,4,0.0070
BERT_base,4,8,0.0075
BERT_base,4,16,0.0076
BERT_base,4,32,0.0075
BERT_base,4,64,0.0077
BERT_base,4,128,0.0115
BERT_base,4,256,0.0206
BERT_base,4,512,0.0412
BERT_base,8,1,0.0065
BERT_base,8,2,0.0071
BERT_base,8,4,0.0075
BERT_base,8,8,0.0090
BERT_base,8,16,0.0074
BERT_base,8,32,0.0082
BERT_base,8,64,0.0109
BERT_base,8,128,0.0200
BERT_base,8,256,0.0378
BERT_base,8,512,0.0773
BERT_base,16,1,0.0077
BERT_base,16,2,0.0075
BERT_base,16,4,0.0076
BERT_base,16,8,0.0089
BERT_base,16,16,0.0076
BERT_base,16,32,0.0111
BERT_base,16,64,0.0193
BERT_base,16,128,0.0361
BERT_base,16,256,0.0699
BERT_base,16,512,0.1522
BERT_base,32,1,0.0070
BERT_base,32,2,0.0076
BERT_base,32,4,0.0074
BERT_base,32,8,0.0077
BERT_base,32,16,0.0110
BERT_base,32,32,0.0194
BERT_base,32,64,0.0353
BERT_base,32,128,0.0666
BERT_base,32,256,0.1372
BERT_base,32,512,0.2943
BERT_large,1,1,0.0114
BERT_large,1,2,0.0152
BERT_large,1,4,0.0129
BERT_large,1,8,0.0140
BERT_large,1,16,0.0139
BERT_large,1,32,0.0164
BERT_large,1,64,0.0139
BERT_large,1,128,0.0139
BERT_large,1,256,0.0191
BERT_large,1,512,0.0374
BERT_large,2,1,0.0125
BERT_large,2,2,0.0136
BERT_large,2,4,0.0147
BERT_large,2,8,0.0170
BERT_large,2,16,0.0144
BERT_large,2,32,0.0148
BERT_large,2,64,0.0151
BERT_large,2,128,0.0189
BERT_large,2,256,0.0347
BERT_large,2,512,0.0710
BERT_large,4,1,0.0122
BERT_large,4,2,0.0146
BERT_large,4,4,0.0141
BERT_large,4,8,0.0142
BERT_large,4,16,0.0142
BERT_large,4,32,0.0146
BERT_large,4,64,0.0187
BERT_large,4,128,0.0327
BERT_large,4,256,0.0660
BERT_large,4,512,0.1331
BERT_large,8,1,0.0134
BERT_large,8,2,0.0141
BERT_large,8,4,0.0141
BERT_large,8,8,0.0142
BERT_large,8,16,0.0144
BERT_large,8,32,0.0191
BERT_large,8,64,0.0326
BERT_large,8,128,0.0633
BERT_large,8,256,0.1224
BERT_large,8,512,0.2623
BERT_large,16,1,0.0130
BERT_large,16,2,0.0143
BERT_large,16,4,0.0142
BERT_large,16,8,0.0143
BERT_large,16,16,0.0191
BERT_large,16,32,0.0318
BERT_large,16,64,0.0611
BERT_large,16,128,0.1161
BERT_large,16,256,0.2386
BERT_large,16,512,0.5201
BERT_large,32,1,0.0132
BERT_large,32,2,0.0144
BERT_large,32,4,0.0144
BERT_large,32,8,0.0185
BERT_large,32,16,0.0323
BERT_large,32,32,0.0609
BERT_large,32,64,0.1139
BERT_large,32,128,0.2281
BERT_large,32,256,0.4748
BERT_large,32,512,1.0233
RoBERTa_base,1,1,0.0062
RoBERTa_base,1,2,0.0063
RoBERTa_base,1,4,0.0064
RoBERTa_base,1,8,0.0068
RoBERTa_base,1,16,0.0068
RoBERTa_base,1,32,0.0073
RoBERTa_base,1,64,0.0072
RoBERTa_base,1,128,0.0073
RoBERTa_base,1,256,0.0080
RoBERTa_base,1,512,0.0140
RoBERTa_base,2,1,0.0061
RoBERTa_base,2,2,0.0068
RoBERTa_base,2,4,0.0072
RoBERTa_base,2,8,0.0071
RoBERTa_base,2,16,0.0074
RoBERTa_base,2,32,0.0077
RoBERTa_base,2,64,0.0075
RoBERTa_base,2,128,0.0083
RoBERTa_base,2,256,0.0129
RoBERTa_base,2,512,0.0241
RoBERTa_base,4,1,0.0062
RoBERTa_base,4,2,0.0071
RoBERTa_base,4,4,0.0071
RoBERTa_base,4,8,0.0075
RoBERTa_base,4,16,0.0076
RoBERTa_base,4,32,0.0076
RoBERTa_base,4,64,0.0084
RoBERTa_base,4,128,0.0126
RoBERTa_base,4,256,0.0223
RoBERTa_base,4,512,0.0451
RoBERTa_base,8,1,0.0065
RoBERTa_base,8,2,0.0071
RoBERTa_base,8,4,0.0075
RoBERTa_base,8,8,0.0076
RoBERTa_base,8,16,0.0075
RoBERTa_base,8,32,0.0083
RoBERTa_base,8,64,0.0121
RoBERTa_base,8,128,0.0228
RoBERTa_base,8,256,0.0429
RoBERTa_base,8,512,0.0858
RoBERTa_base,16,1,0.0065
RoBERTa_base,16,2,0.0074
RoBERTa_base,16,4,0.0075
RoBERTa_base,16,8,0.0074
RoBERTa_base,16,16,0.0080
RoBERTa_base,16,32,0.0122
RoBERTa_base,16,64,0.0208
RoBERTa_base,16,128,0.0395
RoBERTa_base,16,256,0.0786
RoBERTa_base,16,512,0.1704
RoBERTa_base,32,1,0.0069
RoBERTa_base,32,2,0.0076
RoBERTa_base,32,4,0.0075
RoBERTa_base,32,8,0.0080
RoBERTa_base,32,16,0.0121
RoBERTa_base,32,32,0.0222
RoBERTa_base,32,64,0.0404
RoBERTa_base,32,128,0.0756
RoBERTa_base,32,256,0.1557
RoBERTa_base,32,512,0.3292
RoBERTa_large,1,1,0.0113
RoBERTa_large,1,2,0.0128
RoBERTa_large,1,4,0.0129
RoBERTa_large,1,8,0.0140
RoBERTa_large,1,16,0.0135
RoBERTa_large,1,32,0.0139
RoBERTa_large,1,64,0.0138
RoBERTa_large,1,128,0.0139
RoBERTa_large,1,256,0.0205
RoBERTa_large,1,512,0.0390
RoBERTa_large,2,1,0.0123
RoBERTa_large,2,2,0.0136
RoBERTa_large,2,4,0.0147
RoBERTa_large,2,8,0.0142
RoBERTa_large,2,16,0.0145
RoBERTa_large,2,32,0.0147
RoBERTa_large,2,64,0.0148
RoBERTa_large,2,128,0.0200
RoBERTa_large,2,256,0.0360
RoBERTa_large,2,512,0.0748
RoBERTa_large,4,1,0.0125
RoBERTa_large,4,2,0.0146
RoBERTa_large,4,4,0.0144
RoBERTa_large,4,8,0.0142
RoBERTa_large,4,16,0.0145
RoBERTa_large,4,32,0.0147
RoBERTa_large,4,64,0.0199
RoBERTa_large,4,128,0.0342
RoBERTa_large,4,256,0.0687
RoBERTa_large,4,512,0.1396
RoBERTa_large,8,1,0.0135
RoBERTa_large,8,2,0.0144
RoBERTa_large,8,4,0.0143
RoBERTa_large,8,8,0.0146
RoBERTa_large,8,16,0.0143
RoBERTa_large,8,32,0.0200
RoBERTa_large,8,64,0.0335
RoBERTa_large,8,128,0.0659
RoBERTa_large,8,256,0.1280
RoBERTa_large,8,512,0.2735
RoBERTa_large,16,1,0.0131
RoBERTa_large,16,2,0.0142
RoBERTa_large,16,4,0.0145
RoBERTa_large,16,8,0.0145
RoBERTa_large,16,16,0.0200
RoBERTa_large,16,32,0.0336
RoBERTa_large,16,64,0.0642
RoBERTa_large,16,128,0.1230
RoBERTa_large,16,256,0.2509
RoBERTa_large,16,512,0.5451
RoBERTa_large,32,1,0.0134
RoBERTa_large,32,2,0.0145
RoBERTa_large,32,4,0.0144
RoBERTa_large,32,8,0.0198
RoBERTa_large,32,16,0.0334
RoBERTa_large,32,32,0.0641
RoBERTa_large,32,64,0.1197
RoBERTa_large,32,128,0.2410
RoBERTa_large,32,256,0.4993
RoBERTa_large,32,512,1.0742
dist_bert,1,1,0.0031
dist_bert,1,2,0.0033
dist_bert,1,4,0.0033
dist_bert,1,8,0.0035
dist_bert,1,16,0.0035
dist_bert,1,32,0.0037
dist_bert,1,64,0.0037
dist_bert,1,128,0.0037
dist_bert,1,256,0.0040
dist_bert,1,512,0.0050
