model,batch_size,sequence_length,result
BERT_base,1,1,0.0056
BERT_base,1,2,0.0060
BERT_base,1,4,0.0060
BERT_base,1,8,0.0065
BERT_base,1,16,0.0064
BERT_base,1,32,0.0069
BERT_base,1,64,0.0069
BERT_base,1,128,0.0069
BERT_base,1,256,0.0076
BERT_base,1,512,0.0129
BERT_base,2,1,0.0057
BERT_base,2,2,0.0064
BERT_base,2,4,0.0068
BERT_base,2,8,0.0068
BERT_base,2,16,0.0086
BERT_base,2,32,0.0073
BERT_base,2,64,0.0072
BERT_base,2,128,0.0078
BERT_base,2,256,0.0122
BERT_base,2,512,0.0225
BERT_base,4,1,0.0059
BERT_base,4,2,0.0082
BERT_base,4,4,0.0082
BERT_base,4,8,0.0071
BERT_base,4,16,0.0073
BERT_base,4,32,0.0087
BERT_base,4,64,0.0088
BERT_base,4,128,0.0115
BERT_base,4,256,0.0209
BERT_base,4,512,0.0412
BERT_base,8,1,0.0075
BERT_base,8,2,0.0067
BERT_base,8,4,0.0086
BERT_base,8,8,0.0087
BERT_base,8,16,0.0071
BERT_base,8,32,0.0078
BERT_base,8,64,0.0112
BERT_base,8,128,0.0197
BERT_base,8,256,0.0377
BERT_base,8,512,0.0773
BERT_base,16,1,0.0062
BERT_base,16,2,0.0071
BERT_base,16,4,0.0087
BERT_base,16,8,0.0073
BERT_base,16,16,0.0077
BERT_base,16,32,0.0111
BERT_base,16,64,0.0199
BERT_base,16,128,0.0362
BERT_base,16,256,0.0701
BERT_base,16,512,0.1525
BERT_base,32,1,0.0066
BERT_base,32,2,0.0073
BERT_base,32,4,0.0071
BERT_base,32,8,0.0077
BERT_base,32,16,0.0110
BERT_base,32,32,0.0194
BERT_base,32,64,0.0352
BERT_base,32,128,0.0664
BERT_base,32,256,0.1376
BERT_base,32,512,0.2947
BERT_large,1,1,0.0110
BERT_large,1,2,0.0124
BERT_large,1,4,0.0126
BERT_large,1,8,0.0133
BERT_large,1,16,0.0133
BERT_large,1,32,0.0136
BERT_large,1,64,0.0135
BERT_large,1,128,0.0133
BERT_large,1,256,0.0194
BERT_large,1,512,0.0376
BERT_large,2,1,0.0120
BERT_large,2,2,0.0130
BERT_large,2,4,0.0141
BERT_large,2,8,0.0137
BERT_large,2,16,0.0140
BERT_large,2,32,0.0142
BERT_large,2,64,0.0143
BERT_large,2,128,0.0192
BERT_large,2,256,0.0350
BERT_large,2,512,0.0714
BERT_large,4,1,0.0120
BERT_large,4,2,0.0142
BERT_large,4,4,0.0137
BERT_large,4,8,0.0138
BERT_large,4,16,0.0138
BERT_large,4,32,0.0141
BERT_large,4,64,0.0189
BERT_large,4,128,0.0329
BERT_large,4,256,0.0657
BERT_large,4,512,0.1334
BERT_large,8,1,0.0128
BERT_large,8,2,0.0140
BERT_large,8,4,0.0140
BERT_large,8,8,0.0140
BERT_large,8,16,0.0141
BERT_large,8,32,0.0190
BERT_large,8,64,0.0331
BERT_large,8,128,0.0633
BERT_large,8,256,0.1222
BERT_large,8,512,0.2616
BERT_large,16,1,0.0126
BERT_large,16,2,0.0138
BERT_large,16,4,0.0140
BERT_large,16,8,0.0138
BERT_large,16,16,0.0189
BERT_large,16,32,0.0327
BERT_large,16,64,0.0614
BERT_large,16,128,0.1165
BERT_large,16,256,0.2384
BERT_large,16,512,0.5202
BERT_large,32,1,0.0127
BERT_large,32,2,0.0138
BERT_large,32,4,0.0140
BERT_large,32,8,0.0187
BERT_large,32,16,0.0322
BERT_large,32,32,0.0617
BERT_large,32,64,0.1148
BERT_large,32,128,0.2283
BERT_large,32,256,0.4743
BERT_large,32,512,1.0232
RoBERTa_base,1,1,0.0058
RoBERTa_base,1,2,0.0063
RoBERTa_base,1,4,0.0062
RoBERTa_base,1,8,0.0066
RoBERTa_base,1,16,0.0065
RoBERTa_base,1,32,0.0070
RoBERTa_base,1,64,0.0071
RoBERTa_base,1,128,0.0069
RoBERTa_base,1,256,0.0080
RoBERTa_base,1,512,0.0135
RoBERTa_base,2,1,0.0058
RoBERTa_base,2,2,0.0066
RoBERTa_base,2,4,0.0068
RoBERTa_base,2,8,0.0069
RoBERTa_base,2,16,0.0071
RoBERTa_base,2,32,0.0074
RoBERTa_base,2,64,0.0072
RoBERTa_base,2,128,0.0081
RoBERTa_base,2,256,0.0128
RoBERTa_base,2,512,0.0256
RoBERTa_base,4,1,0.0059
RoBERTa_base,4,2,0.0069
RoBERTa_base,4,4,0.0068
RoBERTa_base,4,8,0.0071
