model,batch_size,sequence_length,result
BERT_base,1,1,2496
BERT_base,1,2,2498
BERT_base,1,4,2500
BERT_base,1,8,2504
BERT_base,1,16,2506
BERT_base,1,32,2518
BERT_base,1,64,2542
BERT_base,1,128,2552
BERT_base,1,256,2610
BERT_base,1,512,3122
BERT_base,2,1,2498
BERT_base,2,2,2500
BERT_base,2,4,2504
BERT_base,2,8,2506
BERT_base,2,16,2516
BERT_base,2,32,2538
BERT_base,2,64,2536
BERT_base,2,128,2578
BERT_base,2,256,2878
BERT_base,2,512,3918
BERT_base,4,1,2500
BERT_base,4,2,2504
BERT_base,4,4,2506
BERT_base,4,8,2516
BERT_base,4,16,2536
BERT_base,4,32,2528
BERT_base,4,64,2634
BERT_base,4,128,2768
BERT_base,4,256,3450
BERT_base,4,512,5906
BERT_base,8,1,2504
BERT_base,8,2,2506
BERT_base,8,4,2516
BERT_base,8,8,2536
BERT_base,8,16,2524
BERT_base,8,32,2598
BERT_base,8,64,2702
BERT_base,8,128,3234
BERT_base,8,256,4970
BERT_base,8,512,9862
BERT_base,16,1,2506
BERT_base,16,2,2516
BERT_base,16,4,2536
BERT_base,16,8,2522
BERT_base,16,16,2598
BERT_base,16,32,2670
BERT_base,16,64,3102
BERT_base,16,128,4502
BERT_base,16,256,7992
BERT_base,16,512,17868
BERT_base,32,1,2514
BERT_base,32,2,2536
BERT_base,32,4,2522
BERT_base,32,8,2598
BERT_base,32,16,2652
BERT_base,32,32,2994
BERT_base,32,64,4266
BERT_base,32,128,7062
BERT_base,32,256,14124
BERT_base,32,512,33858
BERT_large,1,1,4190
BERT_large,1,2,4192
BERT_large,1,4,4196
BERT_large,1,8,4206
BERT_large,1,16,4214
BERT_large,1,32,4248
BERT_large,1,64,4318
BERT_large,1,128,4408
BERT_large,1,256,4574
BERT_large,1,512,5314
BERT_large,2,1,4192
BERT_large,2,2,4196
BERT_large,2,4,4204
BERT_large,2,8,4214
BERT_large,2,16,4246
BERT_large,2,32,4308
BERT_large,2,64,4368
BERT_large,2,128,4430
BERT_large,2,256,4694
BERT_large,2,512,7252
BERT_large,4,1,4196
BERT_large,4,2,4204
BERT_large,4,4,4214
BERT_large,4,8,4244
BERT_large,4,16,4302
BERT_large,4,32,4350
BERT_large,4,64,4496
BERT_large,4,128,4378
BERT_large,4,256,6004
BERT_large,4,512,12096
BERT_large,8,1,4204
BERT_large,8,2,4214
BERT_large,8,4,4244
BERT_large,8,8,4300
BERT_large,8,16,4340
BERT_large,8,32,4458
BERT_large,8,64,4294
BERT_large,8,128,5380
BERT_large,8,256,9648
BERT_large,8,512,20916
BERT_large,16,1,4214
BERT_large,16,2,4244
BERT_large,16,4,4300
BERT_large,16,8,4334
BERT_large,16,16,4438
BERT_large,16,32,4348
BERT_large,16,64,5068
BERT_large,16,128,8256
BERT_large,16,256,15926
BERT_large,16,512,39130
BERT_large,32,1,4242
BERT_large,32,2,4298
BERT_large,32,4,4332
BERT_large,32,8,4428
BERT_large,32,16,4308
BERT_large,32,32,4912
BERT_large,32,64,7824
BERT_large,32,128,13428
BERT_large,32,256,29146
BERT_large,32,512,N/A
RoBERTa_base,1,1,2746
RoBERTa_base,1,2,2746
RoBERTa_base,1,4,2750
RoBERTa_base,1,8,2748
RoBERTa_base,1,16,2754
RoBERTa_base,1,32,2764
RoBERTa_base,1,64,2774
RoBERTa_base,1,128,2800
RoBERTa_base,1,256,2898
RoBERTa_base,1,512,3538
RoBERTa_base,2,1,2746
RoBERTa_base,2,2,2750
RoBERTa_base,2,4,2748
RoBERTa_base,2,8,2754
RoBERTa_base,2,16,2764
RoBERTa_base,2,32,2768
RoBERTa_base,2,64,2784
RoBERTa_base,2,128,2826
RoBERTa_base,2,256,3294
RoBERTa_base,2,512,4316
RoBERTa_base,4,1,2750
RoBERTa_base,4,2,2748
RoBERTa_base,4,4,2754
RoBERTa_base,4,8,2764
RoBERTa_base,4,16,2768
RoBERTa_base,4,32,2776
RoBERTa_base,4,64,2862
RoBERTa_base,4,128,3184
RoBERTa_base,4,256,3848
RoBERTa_base,4,512,6632
RoBERTa_base,8,1,2748
RoBERTa_base,8,2,2754
RoBERTa_base,8,4,2764
RoBERTa_base,8,8,2766
RoBERTa_base,8,16,2772
RoBERTa_base,8,32,2826
RoBERTa_base,8,64,3118
RoBERTa_base,8,128,3632
RoBERTa_base,8,256,5696
RoBERTa_base,8,512,11252
RoBERTa_base,16,1,2754
RoBERTa_base,16,2,2764
RoBERTa_base,16,4,2766
RoBERTa_base,16,8,2770
