model,batch_size,sequence_length,result
BERT_base,1,1,0.0059
BERT_base,1,2,0.0062
BERT_base,1,4,0.0063
BERT_base,1,8,0.0067
BERT_base,1,16,0.0067
BERT_base,1,32,0.0071
BERT_base,1,64,0.0073
BERT_base,1,128,0.0072
BERT_base,1,256,0.0076
BERT_base,1,512,0.0128
BERT_base,2,1,0.0059
BERT_base,2,2,0.0067
BERT_base,2,4,0.0069
BERT_base,2,8,0.0069
BERT_base,2,16,0.0074
BERT_base,2,32,0.0076
BERT_base,2,64,0.0075
BERT_base,2,128,0.0080
BERT_base,2,256,0.0122
BERT_base,2,512,0.0226
BERT_base,4,1,0.0061
BERT_base,4,2,0.0069
BERT_base,4,4,0.0070
BERT_base,4,8,0.0073
BERT_base,4,16,0.0074
BERT_base,4,32,0.0074
BERT_base,4,64,0.0077
BERT_base,4,128,0.0114
BERT_base,4,256,0.0207
BERT_base,4,512,0.0415
BERT_base,8,1,0.0065
BERT_base,8,2,0.0069
BERT_base,8,4,0.0072
BERT_base,8,8,0.0073
BERT_base,8,16,0.0074
BERT_base,8,32,0.0077
BERT_base,8,64,0.0112
BERT_base,8,128,0.0203
BERT_base,8,256,0.0380
BERT_base,8,512,0.0776
BERT_base,16,1,0.0064
BERT_base,16,2,0.0073
BERT_base,16,4,0.0073
BERT_base,16,8,0.0074
BERT_base,16,16,0.0078
BERT_base,16,32,0.0111
BERT_base,16,64,0.0190
BERT_base,16,128,0.0362
BERT_base,16,256,0.0702
BERT_base,16,512,0.1533
BERT_base,32,1,0.0068
BERT_base,32,2,0.0074
BERT_base,32,4,0.0074
BERT_base,32,8,0.0077
BERT_base,32,16,0.0110
BERT_base,32,32,0.0193
BERT_base,32,64,0.0355
BERT_base,32,128,0.0669
BERT_base,32,256,0.1389
BERT_base,32,512,0.2985
BERT_large,1,1,0.0113
BERT_large,1,2,0.0126
BERT_large,1,4,0.0127
BERT_large,1,8,0.0138
BERT_large,1,16,0.0134
BERT_large,1,32,0.0136
BERT_large,1,64,0.0139
BERT_large,1,128,0.0139
BERT_large,1,256,0.0198
BERT_large,1,512,0.0375
BERT_large,2,1,0.0122
BERT_large,2,2,0.0135
BERT_large,2,4,0.0144
BERT_large,2,8,0.0142
BERT_large,2,16,0.0143
BERT_large,2,32,0.0148
BERT_large,2,64,0.0145
BERT_large,2,128,0.0189
BERT_large,2,256,0.0352
BERT_large,2,512,0.0718
BERT_large,4,1,0.0124
BERT_large,4,2,0.0143
BERT_large,4,4,0.0144
BERT_large,4,8,0.0144
BERT_large,4,16,0.0145
BERT_large,4,32,0.0147
BERT_large,4,64,0.0185
BERT_large,4,128,0.0335
BERT_large,4,256,0.0664
BERT_large,4,512,0.1342
BERT_large,8,1,0.0132
BERT_large,8,2,0.0141
BERT_large,8,4,0.0144
BERT_large,8,8,0.0144
BERT_large,8,16,0.0142
BERT_large,8,32,0.0186
BERT_large,8,64,0.0321
BERT_large,8,128,0.0630
BERT_large,8,256,0.1224
BERT_large,8,512,0.2644
BERT_large,16,1,0.0131
BERT_large,16,2,0.0144
BERT_large,16,4,0.0143
BERT_large,16,8,0.0144
BERT_large,16,16,0.0190
