model,batch_size,sequence_length,result
BERT_base,1,1,0.0264
BERT_base,1,2,0.0264
BERT_base,1,4,0.0266
BERT_base,1,8,0.0270
BERT_base,1,16,0.0272
BERT_base,1,32,0.0278
BERT_base,1,64,0.0277
BERT_base,1,128,0.0285
BERT_base,1,256,0.0254
BERT_base,1,512,0.0444
BERT_base,2,1,0.0264
BERT_base,2,2,0.0273
BERT_base,2,4,0.0279
BERT_base,2,8,0.0281
BERT_base,2,16,0.0286
BERT_base,2,32,0.0294
BERT_base,2,64,0.0292
BERT_base,2,128,0.0297
BERT_base,2,256,0.0404
BERT_base,2,512,0.0803
BERT_base,4,1,0.0255
BERT_base,4,2,0.0278
BERT_base,4,4,0.0279
BERT_base,4,8,0.0284
BERT_base,4,16,0.0288
BERT_base,4,32,0.0286
BERT_base,4,64,0.0291
BERT_base,4,128,0.0380
BERT_base,4,256,0.0739
BERT_base,4,512,0.1503
BERT_base,8,1,0.0270
BERT_base,8,2,0.0281
BERT_base,8,4,0.0289
BERT_base,8,8,0.0289
BERT_base,8,16,0.0292
BERT_base,8,32,0.0296
BERT_base,8,64,0.0373
BERT_base,8,128,0.0690
BERT_base,8,256,0.1349
BERT_base,8,512,0.3136
BERT_base,16,1,0.0263
BERT_base,16,2,0.0288
BERT_base,16,4,0.0286
BERT_base,16,8,0.0285
BERT_base,16,16,0.0292
BERT_base,16,32,0.0374
BERT_base,16,64,0.0665
BERT_base,16,128,0.1289
BERT_base,16,256,0.2835
BERT_base,16,512,0.6143
BERT_base,32,1,0.0273
BERT_base,32,2,0.0286
BERT_base,32,4,0.0287
BERT_base,32,8,0.0287
BERT_base,32,16,0.0374
BERT_base,32,32,0.0672
BERT_base,32,64,0.1251
BERT_base,32,128,0.2688
BERT_base,32,256,0.5559
BERT_base,32,512,1.2230
BERT_large,1,1,0.0423
BERT_large,1,2,0.0434
BERT_large,1,4,0.0442
BERT_large,1,8,0.0461
BERT_large,1,16,0.0457
BERT_large,1,32,0.0457
BERT_large,1,64,0.0452
BERT_large,1,128,0.0453
BERT_large,1,256,0.0665
BERT_large,1,512,0.1238
BERT_large,2,1,0.0419
BERT_large,2,2,0.0453
BERT_large,2,4,0.0463
BERT_large,2,8,0.0469
BERT_large,2,16,0.0465
BERT_large,2,32,0.0469
BERT_large,2,64,0.0476
BERT_large,2,128,0.0643
BERT_large,2,256,0.1143
BERT_large,2,512,0.2317
BERT_large,4,1,0.0422
BERT_large,4,2,0.0470
BERT_large,4,4,0.0460
BERT_large,4,8,0.0461
BERT_large,4,16,0.0462
BERT_large,4,32,0.0475
BERT_large,4,64,0.0631
BERT_large,4,128,0.1081
BERT_large,4,256,0.2137
BERT_large,4,512,0.4455
BERT_large,8,1,0.0448
BERT_large,8,2,0.0468
BERT_large,8,4,0.0460
BERT_large,8,8,0.0462
BERT_large,8,16,0.0458
BERT_large,8,32,0.0633
BERT_large,8,64,0.1050
BERT_large,8,128,0.2043
BERT_large,8,256,0.4076
BERT_large,8,512,0.9087
BERT_large,16,1,0.0435
BERT_large,16,2,0.0455
BERT_large,16,4,0.0465
BERT_large,16,8,0.0474
BERT_large,16,16,0.0636
BERT_large,16,32,0.1048
BERT_large,16,64,0.1987
BERT_large,16,128,0.3879
BERT_large,16,256,0.8281
BERT_large,16,512,1.8081
BERT_large,32,1,0.0433
BERT_large,32,2,0.0463
BERT_large,32,4,0.0467
BERT_large,32,8,0.0639
BERT_large,32,16,0.1067
BERT_large,32,32,0.1973
BERT_large,32,64,0.3793
BERT_large,32,128,0.7884
BERT_large,32,256,1.6487
BERT_large,32,512,N/A
RoBERTa_base,1,1,0.0265
RoBERTa_base,1,2,0.0268
RoBERTa_base,1,4,0.0267
RoBERTa_base,1,8,0.0273
RoBERTa_base,1,16,0.0270
RoBERTa_base,1,32,0.0283
RoBERTa_base,1,64,0.0282
RoBERTa_base,1,128,0.0279
RoBERTa_base,1,256,0.0285
RoBERTa_base,1,512,0.0503
RoBERTa_base,2,1,0.0261
RoBERTa_base,2,2,0.0272
RoBERTa_base,2,4,0.0280
RoBERTa_base,2,8,0.0280
RoBERTa_base,2,16,0.0289
RoBERTa_base,2,32,0.0291
RoBERTa_base,2,64,0.0293
RoBERTa_base,2,128,0.0288
RoBERTa_base,2,256,0.0466
RoBERTa_base,2,512,0.0883
RoBERTa_base,4,1,0.0259
RoBERTa_base,4,2,0.0279
RoBERTa_base,4,4,0.0279
RoBERTa_base,4,8,0.0281
RoBERTa_base,4,16,0.0285
RoBERTa_base,4,32,0.0294
RoBERTa_base,4,64,0.0298
RoBERTa_base,4,128,0.0437
RoBERTa_base,4,256,0.0811
RoBERTa_base,4,512,0.1677
RoBERTa_base,8,1,0.0267
RoBERTa_base,8,2,0.0282
RoBERTa_base,8,4,0.0286
RoBERTa_base,8,8,0.0286
RoBERTa_base,8,16,0.0287
RoBERTa_base,8,32,0.0292
RoBERTa_base,8,64,0.0431
RoBERTa_base,8,128,0.0775
RoBERTa_base,8,256,0.1538
RoBERTa_base,8,512,0.3521
RoBERTa_base,16,1,0.0267
RoBERTa_base,16,2,0.0287
RoBERTa_base,16,4,0.0286
RoBERTa_base,16,8,0.0284
RoBERTa_base,16,16,0.0289
RoBERTa_base,16,32,0.0428
RoBERTa_base,16,64,0.0757
RoBERTa_base,16,128,0.1457
RoBERTa_base,16,256,0.3223
RoBERTa_base,16,512,0.6897
RoBERTa_base,32,1,0.0273
RoBERTa_base,32,2,0.0292
RoBERTa_base,32,4,0.0290
RoBERTa_base,32,8,0.0283
RoBERTa_base,32,16,0.0433
RoBERTa_base,32,32,0.0751
RoBERTa_base,32,64,0.1432
RoBERTa_base,32,128,0.3070
RoBERTa_base,32,256,0.6312
RoBERTa_base,32,512,1.3790
RoBERTa_large,1,1,0.0425
RoBERTa_large,1,2,0.0438
RoBERTa_large,1,4,0.0440
RoBERTa_large,1,8,0.0457
RoBERTa_large,1,16,0.0455
RoBERTa_large,1,32,0.0465
RoBERTa_large,1,64,0.0458
RoBERTa_large,1,128,0.0446
RoBERTa_large,1,256,0.0705
RoBERTa_large,1,512,0.1319
RoBERTa_large,2,1,0.0424
RoBERTa_large,2,2,0.0445
RoBERTa_large,2,4,0.0479
RoBERTa_large,2,8,0.0465
RoBERTa_large,2,16,0.0471
RoBERTa_large,2,32,0.0458
RoBERTa_large,2,64,0.0467
RoBERTa_large,2,128,0.0682
RoBERTa_large,2,256,0.1200
RoBERTa_large,2,512,0.2440
RoBERTa_large,4,1,0.0426
RoBERTa_large,4,2,0.0469
RoBERTa_large,4,4,0.0468
RoBERTa_large,4,8,0.0484
RoBERTa_large,4,16,0.0463
RoBERTa_large,4,32,0.0422
RoBERTa_large,4,64,0.0672
RoBERTa_large,4,128,0.1167
RoBERTa_large,4,256,0.2251
RoBERTa_large,4,512,0.4700
RoBERTa_large,8,1,0.0436
RoBERTa_large,8,2,0.0480
RoBERTa_large,8,4,0.0460
RoBERTa_large,8,8,0.0478
RoBERTa_large,8,16,0.0472
RoBERTa_large,8,32,0.0672
RoBERTa_large,8,64,0.1127
RoBERTa_large,8,128,0.2154
RoBERTa_large,8,256,0.4317
RoBERTa_large,8,512,0.9584
RoBERTa_large,16,1,0.0440
RoBERTa_large,16,2,0.0466
RoBERTa_large,16,4,0.0459
RoBERTa_large,16,8,0.0479
RoBERTa_large,16,16,0.0676
RoBERTa_large,16,32,0.1116
RoBERTa_large,16,64,0.2105
RoBERTa_large,16,128,0.4119
RoBERTa_large,16,256,0.8778
RoBERTa_large,16,512,1.9104
RoBERTa_large,32,1,0.0437
RoBERTa_large,32,2,0.0460
RoBERTa_large,32,4,0.0467
RoBERTa_large,32,8,0.0677
RoBERTa_large,32,16,0.1149
RoBERTa_large,32,32,0.2094
RoBERTa_large,32,64,0.4039
