model,batch_size,sequence_length,result
Reformer,1,1,0.0075
Reformer,1,2,0.0080
Reformer,1,4,0.0079
Reformer,1,8,0.0081
Reformer,1,16,0.0081
Reformer,1,32,0.0099
Reformer,1,64,0.0100
Reformer,1,128,0.0082
Reformer,1,256,0.0097
Reformer,1,512,0.0128
Reformer,1,1024,0.0182
Reformer,1,2048,0.0324
Reformer,1,4096,0.0611
Reformer,2,1,0.0078
Reformer,2,2,0.0084
Reformer,2,4,0.0083
Reformer,2,8,0.0084
Reformer,2,16,0.0084
Reformer,2,32,0.0084
Reformer,2,64,0.0104
Reformer,2,128,0.0102
Reformer,2,256,0.0100
Reformer,2,512,0.0181
Reformer,2,1024,0.0318
Reformer,2,2048,0.0611
Reformer,2,4096,0.1195
Reformer,4,1,0.0078
Reformer,4,2,0.0084
Reformer,4,4,0.0084
Reformer,4,8,0.0084
Reformer,4,16,0.0084
Reformer,4,32,0.0084
Reformer,4,64,0.0084
Reformer,4,128,0.0086
Reformer,4,256,0.0116
Reformer,4,512,0.0317
Reformer,4,1024,0.0610
Reformer,4,2048,0.1191
Reformer,4,4096,0.2353
Reformer,8,1,0.0079
Reformer,8,2,0.0085
Reformer,8,4,0.0104
Reformer,8,8,0.0086
Reformer,8,16,0.0085
Reformer,8,32,0.0084
Reformer,8,64,0.0088
Reformer,8,128,0.0102
Reformer,8,256,0.0185
Reformer,8,512,0.0610
Reformer,8,1024,0.1189
Reformer,8,2048,0.2343
Reformer,8,4096,0.4656
Reformer,16,1,0.0081
Reformer,16,2,0.0087
Reformer,16,4,0.0088
Reformer,16,8,0.0088
Reformer,16,16,0.0086
Reformer,16,32,0.0091
Reformer,16,64,0.0108
Reformer,16,128,0.0159
Reformer,16,256,0.0352
Reformer,16,512,0.1191
Reformer,16,1024,0.2349
Reformer,16,2048,0.4661
Reformer,16,4096,0.9406
Reformer,32,1,0.0085
Reformer,32,2,0.0089
Reformer,32,4,0.0089
Reformer,32,8,0.0088
Reformer,32,16,0.0094
Reformer,32,32,0.0110
Reformer,32,64,0.0153
Reformer,32,128,0.0308
Reformer,32,256,0.0685
Reformer,32,512,0.2355
Reformer,32,1024,0.4688
Reformer,32,2048,0.9425
Reformer,32,4096,1.9106
