model,batch_size,sequence_length,result
BigBird,1,1,1770
BigBird,1,2,1770
BigBird,1,4,1770
BigBird,1,8,1770
BigBird,1,16,1770
BigBird,1,32,1770
BigBird,1,64,1772
BigBird,1,128,1774
BigBird,1,256,1772
BigBird,1,512,1776
BigBird,1,1024,N/A
BigBird,1,2048,N/A
BigBird,1,4096,N/A
BigBird,2,1,1770
BigBird,2,2,1770
BigBird,2,4,1770
BigBird,2,8,1770
BigBird,2,16,1770
BigBird,2,32,1772
BigBird,2,64,1774
BigBird,2,128,1774
BigBird,2,256,1776
BigBird,2,512,1770
BigBird,2,1024,N/A
BigBird,2,2048,N/A
BigBird,2,4096,N/A
BigBird,4,1,1770
BigBird,4,2,1770
BigBird,4,4,1770
BigBird,4,8,1770
BigBird,4,16,1772
BigBird,4,32,1774
BigBird,4,64,1774
BigBird,4,128,1776
BigBird,4,256,1770
BigBird,4,512,1968
BigBird,4,1024,N/A
BigBird,4,2048,N/A
BigBird,4,4096,N/A
BigBird,8,1,1770
BigBird,8,2,1770
BigBird,8,4,1770
BigBird,8,8,1772
BigBird,8,16,1774
BigBird,8,32,1772
BigBird,8,64,1778
BigBird,8,128,1770
BigBird,8,256,1968
BigBird,8,512,2164
BigBird,8,1024,N/A
BigBird,8,2048,N/A
BigBird,8,4096,N/A
BigBird,16,1,1770
BigBird,16,2,1770
BigBird,16,4,1772
BigBird,16,8,1774
BigBird,16,16,1772
BigBird,16,32,1776
BigBird,16,64,1770
BigBird,16,128,1968
BigBird,16,256,2164
BigBird,16,512,2654
BigBird,16,1024,N/A
BigBird,16,2048,N/A
BigBird,16,4096,N/A
BigBird,32,1,1770
BigBird,32,2,1772
BigBird,32,4,1774
BigBird,32,8,1772
BigBird,32,16,1776
BigBird,32,32,1772
BigBird,32,64,1968
BigBird,32,128,2164
BigBird,32,256,2606
BigBird,32,512,3752
BigBird,32,1024,N/A
BigBird,32,2048,N/A
BigBird,32,4096,N/A
Longformer_base,1,1,1860
Longformer_base,1,2,1860
Longformer_base,1,4,1860
Longformer_base,1,8,1860
Longformer_base,1,16,1860
Longformer_base,1,32,1860
Longformer_base,1,64,1860
Longformer_base,1,128,1860
Longformer_base,1,256,1860
Longformer_base,1,512,1860
Longformer_base,1,1024,1852
Longformer_base,1,2048,1852
Longformer_base,1,4096,2042
Longformer_base,2,1,1852
Longformer_base,2,2,1852
Longformer_base,2,4,1852
Longformer_base,2,8,1852
Longformer_base,2,16,1852
Longformer_base,2,32,1852
Longformer_base,2,64,1852
Longformer_base,2,128,1852
Longformer_base,2,256,1852
Longformer_base,2,512,1852
Longformer_base,2,1024,1852
Longformer_base,2,2048,2036
Longformer_base,2,4096,2602
Longformer_base,4,1,1902
Longformer_base,4,2,1902
Longformer_base,4,4,1902
Longformer_base,4,8,1902
Longformer_base,4,16,1902
Longformer_base,4,32,1902
Longformer_base,4,64,1902
Longformer_base,4,128,1902
Longformer_base,4,256,1902
Longformer_base,4,512,1902
Longformer_base,4,1024,2048
Longformer_base,4,2048,2578
Longformer_base,4,4096,3438
Longformer_base,8,1,2048
Longformer_base,8,2,2048
Longformer_base,8,4,2048
Longformer_base,8,8,2048
Longformer_base,8,16,2048
Longformer_base,8,32,2048
Longformer_base,8,64,2048
Longformer_base,8,128,2048
Longformer_base,8,256,2048
Longformer_base,8,512,2048
Longformer_base,8,1024,2386
Longformer_base,8,2048,3382
Longformer_base,8,4096,5110
Longformer_base,16,1,2338
