model,batch_size,sequence_length,result
BigBird,1,1,0.0058
BigBird,1,2,0.0064
BigBird,1,4,0.0064
BigBird,1,8,0.0064
BigBird,1,16,0.0065
BigBird,1,32,0.0065
BigBird,1,64,0.0066
BigBird,1,128,0.0066
BigBird,1,256,0.0064
BigBird,1,512,0.0089
BigBird,1,1024,N/A
BigBird,1,2048,N/A
BigBird,1,4096,N/A
BigBird,2,1,0.0063
BigBird,2,2,0.0067
BigBird,2,4,0.0068
BigBird,2,8,0.0068
BigBird,2,16,0.0068
BigBird,2,32,0.0068
BigBird,2,64,0.0068
BigBird,2,128,0.0067
BigBird,2,256,0.0090
BigBird,2,512,0.0161
BigBird,2,1024,N/A
BigBird,2,2048,N/A
BigBird,2,4096,N/A
BigBird,4,1,0.0063
BigBird,4,2,0.0067
BigBird,4,4,0.0068
BigBird,4,8,0.0069
BigBird,4,16,0.0069
BigBird,4,32,0.0069
BigBird,4,64,0.0068
BigBird,4,128,0.0084
BigBird,4,256,0.0147
BigBird,4,512,0.0310
BigBird,4,1024,N/A
BigBird,4,2048,N/A
BigBird,4,4096,N/A
BigBird,8,1,0.0064
BigBird,8,2,0.0068
BigBird,8,4,0.0069
BigBird,8,8,0.0069
BigBird,8,16,0.0069
BigBird,8,32,0.0068
BigBird,8,64,0.0087
BigBird,8,128,0.0140
BigBird,8,256,0.0283
BigBird,8,512,0.0586
BigBird,8,1024,N/A
BigBird,8,2048,N/A
BigBird,8,4096,N/A
BigBird,16,1,0.0063
BigBird,16,2,0.0068
BigBird,16,4,0.0069
BigBird,16,8,0.0068
BigBird,16,16,0.0067
BigBird,16,32,0.0083
BigBird,16,64,0.0137
BigBird,16,128,0.0274
BigBird,16,256,0.0544
BigBird,16,512,0.1026
BigBird,16,1024,N/A
BigBird,16,2048,N/A
BigBird,16,4096,N/A
BigBird,32,1,0.0064
BigBird,32,2,0.0068
BigBird,32,4,0.0068
BigBird,32,8,0.0067
BigBird,32,16,0.0081
BigBird,32,32,0.0137
BigBird,32,64,0.0265
BigBird,32,128,0.0531
BigBird,32,256,0.0948
BigBird,32,512,0.1924
BigBird,32,1024,N/A
BigBird,32,2048,N/A
BigBird,32,4096,N/A
Longformer_base,1,1,0.0155
Longformer_base,1,2,0.0153
Longformer_base,1,4,0.0153
Longformer_base,1,8,0.0154
Longformer_base,1,16,0.0155
Longformer_base,1,32,0.0155
Longformer_base,1,64,0.0155
Longformer_base,1,128,0.0153
Longformer_base,1,256,0.0160
Longformer_base,1,512,0.0152
Longformer_base,1,1024,0.0217
Longformer_base,1,2048,0.0377
Longformer_base,1,4096,0.0703
Longformer_base,2,1,0.0218
Longformer_base,2,2,0.0216
Longformer_base,2,4,0.0217
Longformer_base,2,8,0.0216
Longformer_base,2,16,0.0216
Longformer_base,2,32,0.0216
Longformer_base,2,64,0.0216
Longformer_base,2,128,0.0216
Longformer_base,2,256,0.0218
Longformer_base,2,512,0.0220
Longformer_base,2,1024,0.0393
Longformer_base,2,2048,0.0729
Longformer_base,2,4096,0.1427
Longformer_base,4,1,0.0368
Longformer_base,4,2,0.0368
Longformer_base,4,4,0.0368
Longformer_base,4,8,0.0368
Longformer_base,4,16,0.0368
Longformer_base,4,32,0.0369
Longformer_base,4,64,0.0369
Longformer_base,4,128,0.0369
Longformer_base,4,256,0.0371
Longformer_base,4,512,0.0373
Longformer_base,4,1024,0.0717
Longformer_base,4,2048,0.1400
Longformer_base,4,4096,0.2785
Longformer_base,8,1,0.0673
Longformer_base,8,2,0.0672
Longformer_base,8,4,0.0671
Longformer_base,8,8,0.0671
Longformer_base,8,16,0.0672
Longformer_base,8,32,0.0672
Longformer_base,8,64,0.0674
Longformer_base,8,128,0.0674
Longformer_base,8,256,0.0677
Longformer_base,8,512,0.0684
Longformer_base,8,1024,0.1387
Longformer_base,8,2048,0.2751
Longformer_base,8,4096,0.5549
Longformer_base,16,1,0.1314
Longformer_base,16,2,0.1314
Longformer_base,16,4,0.1313
Longformer_base,16,8,0.1312
Longformer_base,16,16,0.1314
Longformer_base,16,32,0.1313
Longformer_base,16,64,0.1317
Longformer_base,16,128,0.1318
Longformer_base,16,256,0.1323
Longformer_base,16,512,0.1335
Longformer_base,16,1024,0.2728
Longformer_base,16,2048,0.5487
Longformer_base,16,4096,1.1085
Longformer_base,32,1,0.2581
Longformer_base,32,2,0.2575
Longformer_base,32,4,0.2576
Longformer_base,32,8,0.2576
Longformer_base,32,16,0.2584
Longformer_base,32,32,0.2576
Longformer_base,32,64,0.2577
Longformer_base,32,128,0.2590
Longformer_base,32,256,0.2594
Longformer_base,32,512,0.2623
Longformer_base,32,1024,0.5445
Longformer_base,32,2048,1.0986
Longformer_base,32,4096,2.2374
Longformer_large,1,1,0.0330
Longformer_large,1,2,0.0332
Longformer_large,1,4,0.0330
Longformer_large,1,8,0.0330
Longformer_large,1,16,0.0329
Longformer_large,1,32,0.0334
Longformer_large,1,64,0.0331
Longformer_large,1,128,0.0330
Longformer_large,1,256,0.0330
Longformer_large,1,512,0.0331
Longformer_large,1,1024,0.0545
Longformer_large,1,2048,0.0982
Longformer_large,1,4096,0.1886
Longformer_large,2,1,0.0541
Longformer_large,2,2,0.0542
Longformer_large,2,4,0.0540
Longformer_large,2,8,0.0542
Longformer_large,2,16,0.0540
Longformer_large,2,32,0.0542
Longformer_large,2,64,0.0542
Longformer_large,2,128,0.0541
Longformer_large,2,256,0.0543
Longformer_large,2,512,0.0548
Longformer_large,2,1024,0.1021
Longformer_large,2,2048,0.1956
Longformer_large,2,4096,0.3844
Longformer_large,4,1,0.0959
Longformer_large,4,2,0.0957
Longformer_large,4,4,0.0957
Longformer_large,4,8,0.0957
Longformer_large,4,16,0.0957
Longformer_large,4,32,0.0955
Longformer_large,4,64,0.0957
Longformer_large,4,128,0.0958
Longformer_large,4,256,0.0963
Longformer_large,4,512,0.0970
Longformer_large,4,1024,0.1926
Longformer_large,4,2048,0.3785
Longformer_large,4,4096,0.7621
Longformer_large,8,1,0.1823
Longformer_large,8,2,0.1824
Longformer_large,8,4,0.1822
Longformer_large,8,8,0.1819
Longformer_large,8,16,0.1820
Longformer_large,8,32,0.1821
Longformer_large,8,64,0.1823
Longformer_large,8,128,0.1825
Longformer_large,8,256,0.1834
Longformer_large,8,512,0.1855
Longformer_large,8,1024,0.3759
Longformer_large,8,2048,0.7536
Longformer_large,8,4096,1.5194
Longformer_large,16,1,0.3571
Longformer_large,16,2,0.3561
Longformer_large,16,4,0.3555
Longformer_large,16,8,0.3552
Longformer_large,16,16,0.3563
Longformer_large,16,32,0.3555
Longformer_large,16,64,0.3569
Longformer_large,16,128,0.3578
Longformer_large,16,256,0.3589
Longformer_large,16,512,0.3633
Longformer_large,16,1024,0.7491
Longformer_large,16,2048,1.5077
Longformer_large,16,4096,3.0616
Longformer_large,32,1,0.7049
Longformer_large,32,2,0.7047
Longformer_large,32,4,0.7036
Longformer_large,32,8,0.7026
