model,batch_size,sequence_length,result
BigBird,1,1,1852
BigBird,1,2,1854
BigBird,1,4,1856
BigBird,1,8,1860
BigBird,1,16,1860
BigBird,1,32,1870
BigBird,1,64,1890
BigBird,1,128,1938
BigBird,1,256,1908
BigBird,1,512,2256
BigBird,1,1024,N/A
BigBird,1,2048,N/A
BigBird,1,4096,N/A
BigBird,2,1,1854
BigBird,2,2,1856
BigBird,2,4,1860
BigBird,2,8,1860
BigBird,2,16,1868
BigBird,2,32,1888
BigBird,2,64,1930
BigBird,2,128,1932
BigBird,2,256,2304
BigBird,2,512,2882
BigBird,2,1024,N/A
BigBird,2,2048,N/A
BigBird,2,4096,N/A
BigBird,4,1,1856
BigBird,4,2,1860
BigBird,4,4,1860
BigBird,4,8,1868
BigBird,4,16,1886
BigBird,4,32,1926
BigBird,4,64,1916
BigBird,4,128,2142
BigBird,4,256,2642
BigBird,4,512,4318
BigBird,4,1024,N/A
BigBird,4,2048,N/A
BigBird,4,4096,N/A
BigBird,8,1,1860
BigBird,8,2,1860
BigBird,8,4,1868
BigBird,8,8,1886
BigBird,8,16,1922
BigBird,8,32,1906
BigBird,8,64,2042
BigBird,8,128,2502
BigBird,8,256,3814
BigBird,8,512,7226
BigBird,8,1024,N/A
BigBird,8,2048,N/A
BigBird,8,4096,N/A
BigBird,16,1,1860
BigBird,16,2,1868
BigBird,16,4,1886
BigBird,16,8,1922
BigBird,16,16,1900
BigBird,16,32,2014
BigBird,16,64,2454
BigBird,16,128,3570
BigBird,16,256,6230
BigBird,16,512,12908
BigBird,16,1024,N/A
BigBird,16,2048,N/A
BigBird,16,4096,N/A
BigBird,32,1,1868
BigBird,32,2,1886
BigBird,32,4,1922
BigBird,32,8,1898
BigBird,32,16,2006
BigBird,32,32,2418
BigBird,32,64,3426
BigBird,32,128,5742
BigBird,32,256,10890
BigBird,32,512,24408
BigBird,32,1024,N/A
BigBird,32,2048,N/A
BigBird,32,4096,N/A
Longformer_base,1,1,2328
Longformer_base,1,2,2328
Longformer_base,1,4,2328
Longformer_base,1,8,2332
Longformer_base,1,16,2328
Longformer_base,1,32,2328
Longformer_base,1,64,2328
Longformer_base,1,128,2364
Longformer_base,1,256,2412
Longformer_base,1,512,2512
Longformer_base,1,1024,3034
Longformer_base,1,2048,4572
Longformer_base,1,4096,7702
Longformer_base,2,1,2974
Longformer_base,2,2,2974
Longformer_base,2,4,2978
