model,batch_size,sequence_length,result
BigBird,1,1,0.0059
BigBird,1,2,0.0064
BigBird,1,4,0.0065
BigBird,1,8,0.0065
BigBird,1,16,0.0065
BigBird,1,32,0.0065
BigBird,1,64,0.0067
BigBird,1,128,0.0067
BigBird,1,256,0.0064
BigBird,1,512,0.0096
BigBird,1,1024,N/A
BigBird,1,2048,N/A
BigBird,1,4096,N/A
BigBird,2,1,0.0062
BigBird,2,2,0.0067
BigBird,2,4,0.0067
BigBird,2,8,0.0068
BigBird,2,16,0.0069
BigBird,2,32,0.0068
BigBird,2,64,0.0068
BigBird,2,128,0.0067
BigBird,2,256,0.0087
BigBird,2,512,0.0161
BigBird,2,1024,N/A
BigBird,2,2048,N/A
BigBird,2,4096,N/A
BigBird,4,1,0.0062
BigBird,4,2,0.0067
BigBird,4,4,0.0067
BigBird,4,8,0.0086
BigBird,4,16,0.0068
BigBird,4,32,0.0068
BigBird,4,64,0.0067
BigBird,4,128,0.0087
BigBird,4,256,0.0148
BigBird,4,512,0.0311
BigBird,4,1024,N/A
BigBird,4,2048,N/A
BigBird,4,4096,N/A
BigBird,8,1,0.0062
BigBird,8,2,0.0067
BigBird,8,4,0.0068
BigBird,8,8,0.0069
BigBird,8,16,0.0069
BigBird,8,32,0.0067
BigBird,8,64,0.0083
BigBird,8,128,0.0140
BigBird,8,256,0.0287
BigBird,8,512,0.0583
BigBird,8,1024,N/A
BigBird,8,2048,N/A
BigBird,8,4096,N/A
BigBird,16,1,0.0063
BigBird,16,2,0.0068
BigBird,16,4,0.0068
BigBird,16,8,0.0068
BigBird,16,16,0.0067
BigBird,16,32,0.0087
BigBird,16,64,0.0137
BigBird,16,128,0.0274
BigBird,16,256,0.0545
BigBird,16,512,0.1031
BigBird,16,1024,N/A
BigBird,16,2048,N/A
BigBird,16,4096,N/A
BigBird,32,1,0.0063
BigBird,32,2,0.0068
BigBird,32,4,0.0068
BigBird,32,8,0.0068
BigBird,32,16,0.0087
BigBird,32,32,0.0137
BigBird,32,64,0.0266
BigBird,32,128,0.0524
BigBird,32,256,0.0955
BigBird,32,512,0.1939
BigBird,32,1024,N/A
BigBird,32,2048,N/A
BigBird,32,4096,N/A
Longformer_base,1,1,0.0153
Longformer_base,1,2,0.0155
Longformer_base,1,4,0.0153
Longformer_base,1,8,0.0155
Longformer_base,1,16,0.0152
Longformer_base,1,32,0.0153
Longformer_base,1,64,0.0155
Longformer_base,1,128,0.0154
Longformer_base,1,256,0.0155
Longformer_base,1,512,0.0152
Longformer_base,1,1024,0.0219
Longformer_base,1,2048,0.0379
Longformer_base,1,4096,0.0705
Longformer_base,2,1,0.0218
Longformer_base,2,2,0.0218
Longformer_base,2,4,0.0218
Longformer_base,2,8,0.0218
Longformer_base,2,16,0.0218
Longformer_base,2,32,0.0218
Longformer_base,2,64,0.0218
Longformer_base,2,128,0.0218
Longformer_base,2,256,0.0221
Longformer_base,2,512,0.0219
Longformer_base,2,1024,0.0394
Longformer_base,2,2048,0.0732
Longformer_base,2,4096,0.1438
Longformer_base,4,1,0.0372
Longformer_base,4,2,0.0372
Longformer_base,4,4,0.0371
Longformer_base,4,8,0.0370
Longformer_base,4,16,0.0372
Longformer_base,4,32,0.0372
Longformer_base,4,64,0.0371
Longformer_base,4,128,0.0372
Longformer_base,4,256,0.0374
Longformer_base,4,512,0.0374
Longformer_base,4,1024,0.0723
Longformer_base,4,2048,0.1414
Longformer_base,4,4096,0.2817
Longformer_base,8,1,0.0679
Longformer_base,8,2,0.0677
Longformer_base,8,4,0.0677
Longformer_base,8,8,0.0677
Longformer_base,8,16,0.0676
Longformer_base,8,32,0.0678
Longformer_base,8,64,0.0679
Longformer_base,8,128,0.0680
Longformer_base,8,256,0.0682
Longformer_base,8,512,0.0689
Longformer_base,8,1024,0.1400
Longformer_base,8,2048,0.2782
Longformer_base,8,4096,0.5597
Longformer_base,16,1,0.1313
Longformer_base,16,2,0.1317
Longformer_base,16,4,0.1317
Longformer_base,16,8,0.1317
Longformer_base,16,16,0.1318
Longformer_base,16,32,0.1318
Longformer_base,16,64,0.1319
Longformer_base,16,128,0.1321
Longformer_base,16,256,0.1329
Longformer_base,16,512,0.1342
Longformer_base,16,1024,0.2749
Longformer_base,16,2048,0.5518
Longformer_base,16,4096,1.1062
Longformer_base,32,1,0.2570
Longformer_base,32,2,0.2576
Longformer_base,32,4,0.2579
Longformer_base,32,8,0.2578
Longformer_base,32,16,0.2580
Longformer_base,32,32,0.2584
Longformer_base,32,64,0.2585
Longformer_base,32,128,0.2591
Longformer_base,32,256,0.2605
Longformer_base,32,512,0.2631
Longformer_base,32,1024,0.5458
Longformer_base,32,2048,1.0950
Longformer_base,32,4096,2.2290
Longformer_large,1,1,0.0329
Longformer_large,1,2,0.0329
Longformer_large,1,4,0.0330
Longformer_large,1,8,0.0331
Longformer_large,1,16,0.0330
Longformer_large,1,32,0.0330
Longformer_large,1,64,0.0328
Longformer_large,1,128,0.0330
Longformer_large,1,256,0.0330
Longformer_large,1,512,0.0329
Longformer_large,1,1024,0.0544
Longformer_large,1,2048,0.0984
Longformer_large,1,4096,0.1895
Longformer_large,2,1,0.0545
Longformer_large,2,2,0.0544
Longformer_large,2,4,0.0545
Longformer_large,2,8,0.0544
Longformer_large,2,16,0.0544
Longformer_large,2,32,0.0541
Longformer_large,2,64,0.0543
Longformer_large,2,128,0.0542
Longformer_large,2,256,0.0545
Longformer_large,2,512,0.0549
Longformer_large,2,1024,0.1025
Longformer_large,2,2048,0.1969
Longformer_large,2,4096,0.3897
Longformer_large,4,1,0.0965
Longformer_large,4,2,0.0964
Longformer_large,4,4,0.0962
Longformer_large,4,8,0.0961
Longformer_large,4,16,0.0961
Longformer_large,4,32,0.0962
Longformer_large,4,64,0.0964
Longformer_large,4,128,0.0965
Longformer_large,4,256,0.0971
Longformer_large,4,512,0.0982
Longformer_large,4,1024,0.1939
Longformer_large,4,2048,0.3833
Longformer_large,4,4096,0.7692
Longformer_large,8,1,0.1823
Longformer_large,8,2,0.1829
Longformer_large,8,4,0.1829
Longformer_large,8,8,0.1831
Longformer_large,8,16,0.1831
Longformer_large,8,32,0.1831
Longformer_large,8,64,0.1833
Longformer_large,8,128,0.1837
Longformer_large,8,256,0.1849
Longformer_large,8,512,0.1868
Longformer_large,8,1024,0.3795
Longformer_large,8,2048,0.7595
Longformer_large,8,4096,1.5176
Longformer_large,16,1,0.3548
Longformer_large,16,2,0.3572
Longformer_large,16,4,0.3571
Longformer_large,16,8,0.3558
Longformer_large,16,16,0.3562
Longformer_large,16,32,0.3561
Longformer_large,16,64,0.3580
Longformer_large,16,128,0.3590
Longformer_large,16,256,0.3603
Longformer_large,16,512,0.3646
Longformer_large,16,1024,0.7508
Longformer_large,16,2048,1.5027
Longformer_large,16,4096,3.0538
Longformer_large,32,1,0.7018
Longformer_large,32,2,0.7005
Longformer_large,32,4,0.7005
Longformer_large,32,8,0.7003
Longformer_large,32,16,0.6997
Longformer_large,32,32,0.7009
Longformer_large,32,64,0.7015
Longformer_large,32,128,0.7034
Longformer_large,32,256,0.7069
Longformer_large,32,512,0.7145
Longformer_large,32,1024,1.4838
Longformer_large,32,2048,3.0185
Longformer_large,32,4096,6.1448
Transformer-XL,1,1,0.0120
Transformer-XL,1,2,0.0126
Transformer-XL,1,4,0.0131
Transformer-XL,1,8,0.0137
Transformer-XL,1,16,0.0153
Transformer-XL,1,32,0.0140
Transformer-XL,1,64,0.0153
Transformer-XL,1,128,0.0245
Transformer-XL,1,256,0.0463
Transformer-XL,1,512,0.0937
Transformer-XL,1,1024,0.2137
Transformer-XL,1,2048,0.5684
Transformer-XL,1,4096,1.7084
Transformer-XL,2,1,0.0160
Transformer-XL,2,2,0.0165
Transformer-XL,2,4,0.0168
Transformer-XL,2,8,0.0177
Transformer-XL,2,16,0.0175
Transformer-XL,2,32,0.0190
Transformer-XL,2,64,0.0302
Transformer-XL,2,128,0.0650
Transformer-XL,2,256,0.1263
Transformer-XL,2,512,0.2696
Transformer-XL,2,1024,0.6564
Transformer-XL,2,2048,1.8574
Transformer-XL,2,4096,6.1145
Transformer-XL,4,1,0.0231
Transformer-XL,4,2,0.0237
Transformer-XL,4,4,0.0246
Transformer-XL,4,8,0.0246
Transformer-XL,4,16,0.0282
Transformer-XL,4,32,0.0342
Transformer-XL,4,64,0.0666
Transformer-XL,4,128,0.1239
Transformer-XL,4,256,0.2549
Transformer-XL,4,512,0.6097
Transformer-XL,4,1024,1.8519
Transformer-XL,4,2048,5.5289
Transformer-XL,4,4096,17.8081
Transformer-XL,8,1,0.0518
Transformer-XL,8,2,0.0533
Transformer-XL,8,4,0.0525
Transformer-XL,8,8,0.0589
Transformer-XL,8,16,0.0738
Transformer-XL,8,32,0.0864
Transformer-XL,8,64,0.1511
Transformer-XL,8,128,0.2917
Transformer-XL,8,256,0.6588
Transformer-XL,8,512,1.5906
Transformer-XL,8,1024,4.1281
Transformer-XL,8,2048,11.2971
Transformer-XL,8,4096,N/A
Transformer-XL,16,1,0.0834
Transformer-XL,16,2,0.0830
Transformer-XL,16,4,0.0891
Transformer-XL,16,8,0.1027
Transformer-XL,16,16,0.1178
Transformer-XL,16,32,0.1518
Transformer-XL,16,64,0.3240
Transformer-XL,16,128,0.6923
Transformer-XL,16,256,1.5577
