model,batch_size,sequence_length,result
BigBird,1,1,0.0263
BigBird,1,2,0.0271
BigBird,1,4,0.0267
BigBird,1,8,0.0271
BigBird,1,16,0.0272
BigBird,1,32,0.0274
BigBird,1,64,0.0277
BigBird,1,128,0.0276
BigBird,1,256,0.0268
BigBird,1,512,0.0277
BigBird,1,1024,N/A
BigBird,1,2048,N/A
BigBird,1,4096,N/A
BigBird,2,1,0.0216
BigBird,2,2,0.0283
BigBird,2,4,0.0278
BigBird,2,8,0.0280
BigBird,2,16,0.0279
BigBird,2,32,0.0278
BigBird,2,64,0.0287
BigBird,2,128,0.0279
BigBird,2,256,0.0287
BigBird,2,512,0.0484
BigBird,2,1024,N/A
BigBird,2,2048,N/A
BigBird,2,4096,N/A
BigBird,4,1,0.0267
BigBird,4,2,0.0277
BigBird,4,4,0.0284
BigBird,4,8,0.0284
BigBird,4,16,0.0277
BigBird,4,32,0.0280
BigBird,4,64,0.0278
BigBird,4,128,0.0279
BigBird,4,256,0.0447
BigBird,4,512,0.0926
BigBird,4,1024,N/A
BigBird,4,2048,N/A
BigBird,4,4096,N/A
BigBird,8,1,0.0268
BigBird,8,2,0.0282
BigBird,8,4,0.0280
BigBird,8,8,0.0278
BigBird,8,16,0.0284
BigBird,8,32,0.0286
BigBird,8,64,0.0282
BigBird,8,128,0.0425
BigBird,8,256,0.0854
BigBird,8,512,0.1793
BigBird,8,1024,N/A
BigBird,8,2048,N/A
BigBird,8,4096,N/A
BigBird,16,1,0.0271
BigBird,16,2,0.0282
BigBird,16,4,0.0280
BigBird,16,8,0.0282
BigBird,16,16,0.0278
BigBird,16,32,0.0283
BigBird,16,64,0.0413
BigBird,16,128,0.0815
BigBird,16,256,0.1651
BigBird,16,512,0.3494
BigBird,16,1024,N/A
BigBird,16,2048,N/A
BigBird,16,4096,N/A
BigBird,32,1,0.0266
BigBird,32,2,0.0285
BigBird,32,4,0.0284
BigBird,32,8,0.0281
BigBird,32,16,0.0276
BigBird,32,32,0.0414
BigBird,32,64,0.0795
BigBird,32,128,0.1582
BigBird,32,256,0.3198
BigBird,32,512,0.7004
BigBird,32,1024,N/A
BigBird,32,2048,N/A
BigBird,32,4096,N/A
Longformer_base,1,1,0.0514
Longformer_base,1,2,0.0515
Longformer_base,1,4,0.0525
Longformer_base,1,8,0.0515
Longformer_base,1,16,0.0514
Longformer_base,1,32,0.0515
Longformer_base,1,64,0.0525
Longformer_base,1,128,0.0529
Longformer_base,1,256,0.0538
Longformer_base,1,512,0.0579
Longformer_base,1,1024,0.1001
Longformer_base,1,2048,0.1893
Longformer_base,1,4096,0.3808
Longformer_base,2,1,0.0779
Longformer_base,2,2,0.0773
Longformer_base,2,4,0.0779
Longformer_base,2,8,0.0771
Longformer_base,2,16,0.0773
