model,batch_size,sequence_length,result
BERT_base,1,1,0.0052
BERT_base,1,2,0.0057
BERT_base,1,4,0.0058
BERT_base,1,8,0.0057
BERT_base,1,16,0.0058
BERT_base,1,32,0.0059
BERT_base,1,64,0.0059
BERT_base,1,128,0.0059
BERT_base,1,256,0.0058
BERT_base,1,512,0.0062
BERT_base,2,1,0.0056
BERT_base,2,2,0.0061
BERT_base,2,4,0.0060
BERT_base,2,8,0.0061
BERT_base,2,16,0.0063
BERT_base,2,32,0.0062
BERT_base,2,64,0.0062
BERT_base,2,128,0.0061
BERT_base,2,256,0.0060
BERT_base,2,512,0.0096
BERT_base,4,1,0.0056
BERT_base,4,2,0.0061
BERT_base,4,4,0.0061
BERT_base,4,8,0.0061
BERT_base,4,16,0.0061
BERT_base,4,32,0.0063
BERT_base,4,64,0.0061
BERT_base,4,128,0.0061
BERT_base,4,256,0.0083
BERT_base,4,512,0.0166
BERT_base,8,1,0.0056
BERT_base,8,2,0.0060
BERT_base,8,4,0.0062
BERT_base,8,8,0.0062
BERT_base,8,16,0.0061
BERT_base,8,32,0.0061
BERT_base,8,64,0.0062
BERT_base,8,128,0.0079
BERT_base,8,256,0.0154
BERT_base,8,512,0.0325
BERT_base,16,1,0.0055
BERT_base,16,2,0.0062
BERT_base,16,4,0.0061
BERT_base,16,8,0.0062
BERT_base,16,16,0.0060
BERT_base,16,32,0.0062
BERT_base,16,64,0.0077
BERT_base,16,128,0.0141
BERT_base,16,256,0.0275
BERT_base,16,512,0.0599
BERT_base,32,1,0.0057
BERT_base,32,2,0.0062
BERT_base,32,4,0.0062
BERT_base,32,8,0.0061
BERT_base,32,16,0.0061
BERT_base,32,32,0.0078
BERT_base,32,64,0.0135
BERT_base,32,128,0.0274
BERT_base,32,256,0.0540
BERT_base,32,512,0.1178
BERT_large,1,1,0.0099
BERT_large,1,2,0.0108
BERT_large,1,4,0.0113
BERT_large,1,8,0.0113
BERT_large,1,16,0.0113
BERT_large,1,32,0.0114
BERT_large,1,64,0.0114
BERT_large,1,128,0.0112
BERT_large,1,256,0.0110
BERT_large,1,512,0.0120
BERT_large,2,1,0.0107
BERT_large,2,2,0.0117
BERT_large,2,4,0.0118
BERT_large,2,8,0.0117
BERT_large,2,16,0.0117
BERT_large,2,32,0.0118
BERT_large,2,64,0.0119
BERT_large,2,128,0.0116
BERT_large,2,256,0.0116
BERT_large,2,512,0.0219
BERT_large,4,1,0.0109
BERT_large,4,2,0.0119
BERT_large,4,4,0.0119
BERT_large,4,8,0.0118
BERT_large,4,16,0.0118
BERT_large,4,32,0.0119
BERT_large,4,64,0.0118
BERT_large,4,128,0.0117
BERT_large,4,256,0.0189
BERT_large,4,512,0.0441
BERT_large,8,1,0.0109
BERT_large,8,2,0.0117
