model,batch_size,sequence_length,result
BERT_base,1,1,1720
BERT_base,1,2,1720
BERT_base,1,4,1720
BERT_base,1,8,1722
BERT_base,1,16,1728
BERT_base,1,32,1730
BERT_base,1,64,1742
BERT_base,1,128,1774
BERT_base,1,256,1774
BERT_base,1,512,2044
BERT_base,2,1,1720
BERT_base,2,2,1720
BERT_base,2,4,1722
BERT_base,2,8,1726
BERT_base,2,16,1728
BERT_base,2,32,1740
BERT_base,2,64,1766
BERT_base,2,128,1798
BERT_base,2,256,1850
BERT_base,2,512,2468
BERT_base,4,1,1720
BERT_base,4,2,1722
BERT_base,4,4,1726
BERT_base,4,8,1728
BERT_base,4,16,1738
BERT_base,4,32,1762
BERT_base,4,64,1780
BERT_base,4,128,1862
BERT_base,4,256,2212
BERT_base,4,512,3492
BERT_base,8,1,1722
BERT_base,8,2,1726
BERT_base,8,4,1728
BERT_base,8,8,1738
BERT_base,8,16,1760
BERT_base,8,32,1772
BERT_base,8,64,1886
BERT_base,8,128,2072
BERT_base,8,256,3004
BERT_base,8,512,5648
BERT_base,16,1,1726
BERT_base,16,2,1728
BERT_base,16,4,1738
BERT_base,16,8,1760
BERT_base,16,16,1766
BERT_base,16,32,1856
BERT_base,16,64,2024
BERT_base,16,128,2744
BERT_base,16,256,4644
BERT_base,16,512,9764
BERT_base,32,1,1728
BERT_base,32,2,1738
BERT_base,32,4,1758
BERT_base,32,8,1764
BERT_base,32,16,1850
BERT_base,32,32,1988
BERT_base,32,64,2620
BERT_base,32,128,4156
BERT_base,32,256,7748
BERT_base,32,512,18184
BERT_large,1,1,2564
BERT_large,1,2,2566
BERT_large,1,4,2568
BERT_large,1,8,2572
BERT_large,1,16,2580
BERT_large,1,32,2592
BERT_large,1,64,2626
BERT_large,1,128,2710
BERT_large,1,256,2756
BERT_large,1,512,3144
BERT_large,2,1,2566
BERT_large,2,2,2568
BERT_large,2,4,2572
BERT_large,2,8,2580
BERT_large,2,16,2590
BERT_large,2,32,2620
BERT_large,2,64,2688
BERT_large,2,128,2758
BERT_large,2,256,2844
BERT_large,2,512,4214
BERT_large,4,1,2568
BERT_large,4,2,2572
BERT_large,4,4,2580
BERT_large,4,8,2590
BERT_large,4,16,2618
BERT_large,4,32,2678
BERT_large,4,64,2716
BERT_large,4,128,2810
BERT_large,4,256,3546
BERT_large,4,512,6616
BERT_large,8,1,2572
BERT_large,8,2,2580
BERT_large,8,4,2590
BERT_large,8,8,2616
BERT_large,8,16,2672
BERT_large,8,32,2696
BERT_large,8,64,2870
BERT_large,8,128,3206
BERT_large,8,256,5262
BERT_large,8,512,11556
BERT_large,16,1,2580
BERT_large,16,2,2590
