model,batch_size,sequence_length,result
BERT_base,1,1,0.0269
BERT_base,1,2,0.0267
BERT_base,1,4,0.0284
BERT_base,1,8,0.0249
BERT_base,1,16,0.0247
BERT_base,1,32,0.0247
BERT_base,1,64,0.0249
BERT_base,1,128,0.0253
BERT_base,1,256,0.0247
BERT_base,1,512,0.0251
BERT_base,2,1,0.0235
BERT_base,2,2,0.0254
BERT_base,2,4,0.0254
BERT_base,2,8,0.0250
BERT_base,2,16,0.0256
BERT_base,2,32,0.0286
BERT_base,2,64,0.0260
BERT_base,2,128,0.0280
BERT_base,2,256,0.0261
BERT_base,2,512,0.0345
BERT_base,4,1,0.0242
BERT_base,4,2,0.0256
BERT_base,4,4,0.0256
BERT_base,4,8,0.0256
BERT_base,4,16,0.0253
BERT_base,4,32,0.0258
BERT_base,4,64,0.0256
BERT_base,4,128,0.0258
BERT_base,4,256,0.0310
BERT_base,4,512,0.0616
BERT_base,8,1,0.0262
BERT_base,8,2,0.0257
BERT_base,8,4,0.0259
BERT_base,8,8,0.0259
BERT_base,8,16,0.0260
BERT_base,8,32,0.0258
BERT_base,8,64,0.0260
BERT_base,8,128,0.0287
BERT_base,8,256,0.0553
BERT_base,8,512,0.1252
BERT_base,16,1,0.0246
BERT_base,16,2,0.0290
BERT_base,16,4,0.0289
BERT_base,16,8,0.0257
BERT_base,16,16,0.0289
BERT_base,16,32,0.0261
BERT_base,16,64,0.0283
BERT_base,16,128,0.0515
BERT_base,16,256,0.1108
BERT_base,16,512,0.2411
BERT_base,32,1,0.0275
BERT_base,32,2,0.0287
BERT_base,32,4,0.0291
BERT_base,32,8,0.0258
BERT_base,32,16,0.0260
BERT_base,32,32,0.0278
BERT_base,32,64,0.0494
BERT_base,32,128,0.1041
BERT_base,32,256,0.2133
BERT_base,32,512,0.4752
BERT_large,1,1,0.0415
BERT_large,1,2,0.0432
BERT_large,1,4,0.0431
BERT_large,1,8,0.0429
BERT_large,1,16,0.0403
BERT_large,1,32,0.0402
BERT_large,1,64,0.0401
BERT_large,1,128,0.0402
BERT_large,1,256,0.0401
BERT_large,1,512,0.0442
BERT_large,2,1,0.0379
BERT_large,2,2,0.0414
BERT_large,2,4,0.0414
BERT_large,2,8,0.0419
BERT_large,2,16,0.0418
BERT_large,2,32,0.0419
BERT_large,2,64,0.0415
BERT_large,2,128,0.0444
BERT_large,2,256,0.0450
BERT_large,2,512,0.0782
BERT_large,4,1,0.0445
BERT_large,4,2,0.0471
BERT_large,4,4,0.0471
BERT_large,4,8,0.0472
